t P_alpha_to_beta P_alpha_to_alpha 2sin2theta_cos2theta
3.920392e-02 1.057471e-02 9.894253e-01 3.540367e-01
3.960396e-02 1.079051e-02 9.892095e-01 3.540367e-01
4.000400e-02 1.100846e-02 9.889915e-01 3.540367e-01
4.040404e-02 1.122855e-02 9.887714e-01 3.540367e-01
4.080408e-02 1.145079e-02 9.885492e-01 3.540367e-01
4.120412e-02 1.167517e-02 9.883248e-01 3.540367e-01
4.160416e-02 1.190169e-02 9.880983e-01 3.540367e-01
4.200420e-02 1.213034e-02 9.878697e-01 3.540367e-01
4.240424e-02 1.236114e-02 9.876389e-01 3.540367e-01
4.280428e-02 1.259407e-02 9.874059e-01 3.540367e-01
4.320432e-02 1.282913e-02 9.871709e-01 3.540367e-01
4.360436e-02 1.306633e-02 9.869337e-01 3.540367e-01
4.400440e-02 1.330566e-02 9.866943e-01 3.540367e-01
4.440444e-02 1.354712e-02 9.864529e-01 3.540367e-01
4.480448e-02 1.379070e-02 9.862093e-01 3.540367e-01
4.520452e-02 1.403642e-02 9.859636e-01 3.540367e-01
4.560456e-02 1.428426e-02 9.857157e-01 3.540367e-01
4.600460e-02 1.453422e-02 9.854658e-01 3.540367e-01
4.640464e-02 1.478631e-02 9.852137e-01 3.540367e-01
4.680468e-02 1.504051e-02 9.849595e-01 3.540367e-01
4.720472e-02 1.529684e-02 9.847032e-01 3.540367e-01
4.760476e-02 1.555528e-02 9.844447e-01 3.540367e-01
4.800480e-02 1.581584e-02 9.841842e-01 3.540367e-01
4.840484e-02 1.607852e-02 9.839215e-01 3.540367e-01
4.880488e-02 1.634330e-02 9.836567e-01 3.540367e-01
4.920492e-02 1.661020e-02 9.833898e-01 3.540367e-01
4.960496e-02 1.687921e-02 9.831208e-01 3.540367e-01
5.000500e-02 1.715032e-02 9.828497e-01 3.540367e-01
5.040504e-02 1.742354e-02 9.825765e-01 3.540367e-01
5.080508e-02 1.769887e-02 9.823011e-01 3.540367e-01
5.120512e-02 1.797629e-02 9.820237e-01 3.540367e-01
5.160516e-02 1.825582e-02 9.817442e-01 3.540367e-01
5.200520e-02 1.853745e-02 9.814625e-01 3.540367e-01
5.240524e-02 1.882117e-02 9.811788e-01 3.540367e-01
5.280528e-02 1.910699e-02 9.808930e-01 3.540367e-01
5.320532e-02 1.939491e-02 9.806051e-01 3.540367e-01
5.360536e-02 1.968491e-02 9.803151e-01 3.540367e-01
5.400540e-02 1.997701e-02 9.800230e-01 3.540367e-01
5.440544e-02 2.027119e-02 9.797288e-01 3.540367e-01
5.480548e-02 2.056747e-02 9.794325e-01 3.540367e-01
5.520552e-02 2.086582e-02 9.791342e-01 3.540367e-01
5.560556e-02 2.116626e-02 9.788337e-01 3.540367e-01
5.600560e-02 2.146878e-02 9.785312e-01 3.540367e-01
5.640564e-02 2.177338e-02 9.782266e-01 3.540367e-01
5.680568e-02 2.208005e-02 9.779199e-01 3.540367e-01
5.720572e-02 2.238880e-02 9.776112e-01 3.540367e-01
5.760576e-02 2.269962e-02 9.773004e-01 3.540367e-01
5.800580e-02 2.301252e-02 9.769875e-01 3.540367e-01
5.840584e-02 2.332748e-02 9.766725e-01 3.540367e-01
5.880588e-02 2.364451e-02 9.763555e-01 3.540367e-01
5.920592e-02 2.396361e-02 9.760364e-01 3.540367e-01
5.960596e-02 2.428477e-02 9.757152e-01 3.540367e-01
6.000600e-02 2.460799e-02 9.753920e-01 3.540367e-01
6.040604e-02 2.493327e-02 9.750667e-01 3.540367e-01
6.080608e-02 2.526061e-02 9.747394e-01 3.540367e-01
6.120612e-02 2.559001e-02 9.744100e-01 3.540367e-01
6.160616e-02 2.592145e-02 9.740785e-01 3.540367e-01
6.200620e-02 2.625495e-02 9.737450e-01 3.540367e-01
6.240624e-02 2.659050e-02 9.734095e-01 3.540367e-01
6.280628e-02 2.692809e-02 9.730719e-01 3.540367e-01
6.320632e-02 2.726773e-02 9.727323e-01 3.540367e-01
6.360636e-02 2.760941e-02 9.723906e-01 3.540367e-01
6.400640e-02 2.795313e-02 9.720469e-01 3.540367e-01
6.440644e-02 2.829889e-02 9.717011e-01 3.540367e-01
6.480648e-02 2.864669e-02 9.713533e-01 3.540367e-01
6.520652e-02 2.899652e-02 9.710035e-01 3.540367e-01
6.560656e-02 2.934839e-02 9.706516e-01 3.540367e-01
6.600660e-02 2.970228e-02 9.702977e-01 3.540367e-01
6.640664e-02 3.005820e-02 9.699418e-01 3.540367e-01
6.680668e-02 3.041614e-02 9.695839e-01 3.540367e-01
6.720672e-02 3.077611e-02 9.692239e-01 3.540367e-01
6.760676e-02 3.113810e-02 9.688619e-01 3.540367e-01
6.800680e-02 3.150211e-02 9.684979e-01 3.540367e-01
6.840684e-02 3.186813e-02 9.681319e-01 3.540367e-01
6.880688e-02 3.223617e-02 9.677638e-01 3.540367e-01
6.920692e-02 3.260622e-02 9.673938e-01 3.540367e-01
6.960696e-02 3.297828e-02 9.670217e-01 3.540367e-01
7.000700e-02 3.335235e-02 9.666477e-01 3.540367e-01
7.040704e-02 3.372842e-02 9.662716e-01 3.540367e-01
7.080708e-02 3.410649e-02 9.658935e-01 3.540367e-01
7.120712e-02 3.448656e-02 9.655134e-01 3.540367e-01
7.160716e-02 3.486863e-02 9.651314e-01 3.540367e-01
7.200720e-02 3.525270e-02 9.647473e-01 3.540367e-01
7.240724e-02 3.563876e-02 9.643612e-01 3.540367e-01
7.280728e-02 3.602681e-02 9.639732e-01 3.540367e-01
7.320732e-02 3.641685e-02 9.635832e-01 3.540367e-01
7.360736e-02 3.680887e-02 9.631911e-01 3.540367e-01
7.400740e-02 3.720287e-02 9.627971e-01 3.540367e-01
7.440744e-02 3.759886e-02 9.624011e-01 3.540367e-01
7.480748e-02 3.799682e-02 9.620032e-01 3.540367e-01
7.520752e-02 3.839676e-02 9.616032e-01 3.540367e-01
7.560756e-02 3.879868e-02 9.612013e-01 3.540367e-01
7.600760e-02 3.920256e-02 9.607974e-01 3.540367e-01
7.640764e-02 3.960841e-02 9.603916e-01 3.540367e-01
7.680768e-02 4.001623e-02 9.599838e-01 3.540367e-01
7.720772e-02 4.042601e-02 9.595740e-01 3.540367e-01
7.760776e-02 4.083775e-02 9.591622e-01 3.540367e-01
7.800780e-02 4.125145e-02 9.587485e-01 3.540367e-01
7.840784e-02 4.166711e-02 9.583329e-01 3.540367e-01
7.880788e-02 4.208471e-02 9.579153e-01 3.540367e-01
7.920792e-02 4.250427e-02 9.574957e-01 3.540367e-01
7.960796e-02 4.292578e-02 9.570742e-01 3.540367e-01
8.000800e-02 4.334923e-02 9.566508e-01 3.540367e-01
8.040804e-02 4.377462e-02 9.562254e-01 3.540367e-01
8.080808e-02 4.420195e-02 9.557981e-01 3.540367e-01
8.120812e-02 4.463122e-02 9.553688e-01 3.540367e-01
8.160816e-02 4.506242e-02 9.549376e-01 3.540367e-01
8.200820e-02 4.549555e-02 9.545044e-01 3.540367e-01
8.240824e-02 4.593062e-02 9.540694e-01 3.540367e-01
8.280828e-02 4.636760e-02 9.536324e-01 3.540367e-01
8.320832e-02 4.680652e-02 9.531935e-01 3.540367e-01
8.360836e-02 4.724735e-02 9.527527e-01 3.540367e-01
8.400840e-02 4.769010e-02 9.523099e-01 3.540367e-01
8.440844e-02 4.813477e-02 9.518652e-01 3.540367e-01
8.480848e-02 4.858134e-02 9.514187e-01 3.540367e-01
8.520852e-02 4.902983e-02 9.509702e-01 3.540367e-01
8.560856e-02 4.948022e-02 9.505198e-01 3.540367e-01
8.600860e-02 4.993252e-02 9.500675e-01 3.540367e-01
8.640864e-02 5.038672e-02 9.496133e-01 3.540367e-01
8.680868e-02 5.084282e-02 9.491572e-01 3.540367e-01
8.720872e-02 5.130081e-02 9.486992e-01 3.540367e-01
8.760876e-02 5.176070e-02 9.482393e-01 3.540367e-01
8.800880e-02 5.222247e-02 9.477775e-01 3.540367e-01
8.840884e-02 5.268613e-02 9.473139e-01 3.540367e-01
8.880888e-02 5.315168e-02 9.468483e-01 3.540367e-01
8.920892e-02 5.361910e-02 9.463809e-01 3.540367e-01
8.960896e-02 5.408841e-02 9.459116e-01 3.540367e-01
9.000900e-02 5.455958e-02 9.454404e-01 3.540367e-01
9.040904e-02 5.503264e-02 9.449674e-01 3.540367e-01
9.080908e-02 5.550756e-02 9.444924e-01 3.540367e-01
9.120912e-02 5.598434e-02 9.440157e-01 3.540367e-01
9.160916e-02 5.646299e-02 9.435370e-01 3.540367e-01
9.200920e-02 5.694350e-02 9.430565e-01 3.540367e-01
9.240924e-02 5.742587e-02 9.425741e-01 3.540367e-01
9.280928e-02 5.791009e-02 9.420899e-01 3.540367e-01
9.320932e-02 5.839616e-02 9.416038e-01 3.540367e-01
9.360936e-02 5.888408e-02 9.411159e-01 3.540367e-01
9.400940e-02 5.937385e-02 9.406261e-01 3.540367e-01
9.440944e-02 5.986546e-02 9.401345e-01 3.540367e-01
9.480948e-02 6.035890e-02 9.396411e-01 3.540367e-01
9.520952e-02 6.085419e-02 9.391458e-01 3.540367e-01
9.560956e-02 6.135130e-02 9.386487e-01 3.540367e-01
9.600960e-02 6.185025e-02 9.381498e-01 3.540367e-01
9.640964e-02 6.235102e-02 9.376490e-01 3.540367e-01
9.680968e-02 6.285361e-02 9.371464e-01 3.540367e-01
9.720972e-02 6.335803e-02 9.366420e-01 3.540367e-01
9.760976e-02 6.386426e-02 9.361357e-01 3.540367e-01
9.800980e-02 6.437231e-02 9.356277e-01 3.540367e-01
9.840984e-02 6.488217e-02 9.351178e-01 3.540367e-01
9.880988e-02 6.539383e-02 9.346062e-01 3.540367e-01
9.920992e-02 6.590730e-02 9.340927e-01 3.540367e-01
9.960996e-02 6.642257e-02 9.335774e-01 3.540367e-01
1.000100e-01 6.693964e-02 9.330604e-01 3.540367e-01
1.004100e-01 6.745850e-02 9.325415e-01 3.540367e-01
1.008101e-01 6.797915e-02 9.320208e-01 3.540367e-01
1.012101e-01 6.850160e-02 9.314984e-01 3.540367e-01
1.016102e-01 6.902582e-02 9.309742e-01 3.540367e-01
1.020102e-01 6.955183e-02 9.304482e-01 3.540367e-01
1.024102e-01 7.007962e-02 9.299204e-01 3.540367e-01
1.028103e-01 7.060918e-02 9.293908e-01 3.540367e-01
1.032103e-01 7.114052e-02 9.288595e-01 3.540367e-01
1.036104e-01 7.167362e-02 9.283264e-01 3.540367e-01
1.040104e-01 7.220849e-02 9.277915e-01 3.540367e-01
1.044104e-01 7.274512e-02 9.272549e-01 3.540367e-01
1.048105e-01 7.328351e-02 9.267165e-01 3.540367e-01
1.052105e-01 7.382365e-02 9.261763e-01 3.540367e-01
1.056106e-01 7.436555e-02 9.256345e-01 3.540367e-01
1.060106e-01 7.490919e-02 9.250908e-01 3.540367e-01
1.064106e-01 7.545458e-02 9.245454e-01 3.540367e-01
1.068107e-01 7.600171e-02 9.239983e-01 3.540367e-01
1.072107e-01 7.655058e-02 9.234494e-01 3.540367e-01
1.076108e-01 7.710118e-02 9.228988e-01 3.540367e-01
1.080108e-01 7.765351e-02 9.223465e-01 3.540367e-01
1.084108e-01 7.820757e-02 9.217924e-01 3.540367e-01
1.088109e-01 7.876336e-02 9.212366e-01 3.540367e-01
1.092109e-01 7.932087e-02 9.206791e-01 3.540367e-01
1.096110e-01 7.988009e-02 9.201199e-01 3.540367e-01
1.100110e-01 8.044103e-02 9.195590e-01 3.540367e-01
1.104110e-01 8.100367e-02 9.189963e-01 3.540367e-01
1.108111e-01 8.156803e-02 9.184320e-01 3.540367e-01
1.112111e-01 8.213409e-02 9.178659e-01 3.540367e-01
1.116112e-01 8.270184e-02 9.172982e-01 3.540367e-01
1.120112e-01 8.327130e-02 9.167287e-01 3.540367e-01
1.124112e-01 8.384245e-02 9.161576e-01 3.540367e-01
1.128113e-01 8.441528e-02 9.155847e-01 3.540367e-01
1.132113e-01 8.498980e-02 9.150102e-01 3.540367e-01
1.136114e-01 8.556601e-02 9.144340e-01 3.540367e-01
1.140114e-01 8.614389e-02 9.138561e-01 3.540367e-01
1.144114e-01 8.672344e-02 9.132766e-01 3.540367e-01
1.148115e-01 8.730467e-02 9.126953e-01 3.540367e-01
1.152115e-01 8.788756e-02 9.121124e-01 3.540367e-01
1.156116e-01 8.847212e-02 9.115279e-01 3.540367e-01
1.160116e-01 8.905834e-02 9.109417e-01 3.540367e-01
1.164116e-01 8.964622e-02 9.103538e-01 3.540367e-01
1.168117e-01 9.023574e-02 9.097643e-01 3.540367e-01
1.172117e-01 9.082692e-02 9.091731e-01 3.540367e-01
1.176118e-01 9.141974e-02 9.085803e-01 3.540367e-01
1.180118e-01 9.201420e-02 9.079858e-01 3.540367e-01
1.184118e-01 9.261031e-02 9.073897e-01 3.540367e-01
1.188119e-01 9.320804e-02 9.067920e-01 3.540367e-01
1.192119e-01 9.380741e-02 9.061926e-01 3.540367e-01
1.196120e-01 9.440840e-02 9.055916e-01 3.540367e-01
1.200120e-01 9.501102e-02 9.049890e-01 3.540367e-01
