t P_alpha_to_beta P_alpha_to_alpha 2sin2theta_cos2theta
3.920392e-02 1.073043e-02 9.892696e-01 3.540367e-01
3.960396e-02 1.094935e-02 9.890507e-01 3.540367e-01
4.000400e-02 1.117044e-02 9.888296e-01 3.540367e-01
4.040404e-02 1.139370e-02 9.886063e-01 3.540367e-01
4.080408e-02 1.161914e-02 9.883809e-01 3.540367e-01
4.120412e-02 1.184675e-02 9.881533e-01 3.540367e-01
4.160416e-02 1.207652e-02 9.879235e-01 3.540367e-01
4.200420e-02 1.230846e-02 9.876915e-01 3.540367e-01
4.240424e-02 1.254257e-02 9.874574e-01 3.540367e-01
4.280428e-02 1.277884e-02 9.872212e-01 3.540367e-01
4.320432e-02 1.301727e-02 9.869827e-01 3.540367e-01
4.360436e-02 1.325787e-02 9.867421e-01 3.540367e-01
4.400440e-02 1.350062e-02 9.864994e-01 3.540367e-01
4.440444e-02 1.374553e-02 9.862545e-01 3.540367e-01
4.480448e-02 1.399259e-02 9.860074e-01 3.540367e-01
4.520452e-02 1.424181e-02 9.857582e-01 3.540367e-01
4.560456e-02 1.449318e-02 9.855068e-01 3.540367e-01
4.600460e-02 1.474671e-02 9.852533e-01 3.540367e-01
4.640464e-02 1.500238e-02 9.849976e-01 3.540367e-01
4.680468e-02 1.526020e-02 9.847398e-01 3.540367e-01
4.720472e-02 1.552016e-02 9.844798e-01 3.540367e-01
4.760476e-02 1.578227e-02 9.842177e-01 3.540367e-01
4.800480e-02 1.604652e-02 9.839535e-01 3.540367e-01
4.840484e-02 1.631291e-02 9.836871e-01 3.540367e-01
4.880488e-02 1.658144e-02 9.834186e-01 3.540367e-01
4.920492e-02 1.685211e-02 9.831479e-01 3.540367e-01
4.960496e-02 1.712491e-02 9.828751e-01 3.540367e-01
5.000500e-02 1.739985e-02 9.826002e-01 3.540367e-01
5.040504e-02 1.767692e-02 9.823231e-01 3.540367e-01
5.080508e-02 1.795611e-02 9.820439e-01 3.540367e-01
5.120512e-02 1.823744e-02 9.817626e-01 3.540367e-01
5.160516e-02 1.852089e-02 9.814791e-01 3.540367e-01
5.200520e-02 1.880647e-02 9.811935e-01 3.540367e-01
5.240524e-02 1.909417e-02 9.809058e-01 3.540367e-01
5.280528e-02 1.938399e-02 9.806160e-01 3.540367e-01
5.320532e-02 1.967592e-02 9.803241e-01 3.540367e-01
5.360536e-02 1.996998e-02 9.800300e-01 3.540367e-01
5.400540e-02 2.026615e-02 9.797339e-01 3.540367e-01
5.440544e-02 2.056443e-02 9.794356e-01 3.540367e-01
5.480548e-02 2.086482e-02 9.791352e-01 3.540367e-01
5.520552e-02 2.116732e-02 9.788327e-01 3.540367e-01
5.560556e-02 2.147193e-02 9.785281e-01 3.540367e-01
5.600560e-02 2.177864e-02 9.782214e-01 3.540367e-01
5.640564e-02 2.208746e-02 9.779125e-01 3.540367e-01
5.680568e-02 2.239837e-02 9.776016e-01 3.540367e-01
5.720572e-02 2.271139e-02 9.772886e-01 3.540367e-01
5.760576e-02 2.302650e-02 9.769735e-01 3.540367e-01
5.800580e-02 2.334371e-02 9.766563e-01 3.540367e-01
5.840584e-02 2.366300e-02 9.763370e-01 3.540367e-01
5.880588e-02 2.398439e-02 9.760156e-01 3.540367e-01
5.920592e-02 2.430787e-02 9.756921e-01 3.540367e-01
5.960596e-02 2.463343e-02 9.753666e-01 3.540367e-01
6.000600e-02 2.496108e-02 9.750389e-01 3.540367e-01
6.040604e-02 2.529081e-02 9.747092e-01 3.540367e-01
6.080608e-02 2.562262e-02 9.743774e-01 3.540367e-01
6.120612e-02 2.595650e-02 9.740435e-01 3.540367e-01
6.160616e-02 2.629247e-02 9.737075e-01 3.540367e-01
6.200620e-02 2.663050e-02 9.733695e-01 3.540367e-01
6.240624e-02 2.697060e-02 9.730294e-01 3.540367e-01
6.280628e-02 2.731278e-02 9.726872e-01 3.540367e-01
6.320632e-02 2.765702e-02 9.723430e-01 3.540367e-01
6.360636e-02 2.800332e-02 9.719967e-01 3.540367e-01
6.400640e-02 2.835169e-02 9.716483e-01 3.540367e-01
6.440644e-02 2.870211e-02 9.712979e-01 3.540367e-01
6.480648e-02 2.905460e-02 9.709454e-01 3.540367e-01
6.520652e-02 2.940913e-02 9.705909e-01 3.540367e-01
6.560656e-02 2.976572e-02 9.702343e-01 3.540367e-01
6.600660e-02 3.012436e-02 9.698756e-01 3.540367e-01
6.640664e-02 3.048505e-02 9.695150e-01 3.540367e-01
6.680668e-02 3.084778e-02 9.691522e-01 3.540367e-01
6.720672e-02 3.121256e-02 9.687874e-01 3.540367e-01
6.760676e-02 3.157937e-02 9.684206e-01 3.540367e-01
6.800680e-02 3.194823e-02 9.680518e-01 3.540367e-01
6.840684e-02 3.231912e-02 9.676809e-01 3.540367e-01
6.880688e-02 3.269204e-02 9.673080e-01 3.540367e-01
6.920692e-02 3.306700e-02 9.669330e-01 3.540367e-01
6.960696e-02 3.344398e-02 9.665560e-01 3.540367e-01
7.000700e-02 3.382299e-02 9.661770e-01 3.540367e-01
7.040704e-02 3.420402e-02 9.657960e-01 3.540367e-01
7.080708e-02 3.458707e-02 9.654129e-01 3.540367e-01
7.120712e-02 3.497215e-02 9.650279e-01 3.540367e-01
7.160716e-02 3.535923e-02 9.646408e-01 3.540367e-01
7.200720e-02 3.574833e-02 9.642517e-01 3.540367e-01
7.240724e-02 3.613944e-02 9.638606e-01 3.540367e-01
7.280728e-02 3.653256e-02 9.634674e-01 3.540367e-01
7.320732e-02 3.692769e-02 9.630723e-01 3.540367e-01
7.360736e-02 3.732482e-02 9.626752e-01 3.540367e-01
7.400740e-02 3.772394e-02 9.622761e-01 3.540367e-01
7.440744e-02 3.812507e-02 9.618749e-01 3.540367e-01
7.480748e-02 3.852819e-02 9.614718e-01 3.540367e-01
7.520752e-02 3.893330e-02 9.610667e-01 3.540367e-01
7.560756e-02 3.934041e-02 9.606596e-01 3.540367e-01
7.600760e-02 3.974950e-02 9.602505e-01 3.540367e-01
7.640764e-02 4.016057e-02 9.598394e-01 3.540367e-01
7.680768e-02 4.057363e-02 9.594264e-01 3.540367e-01
7.720772e-02 4.098866e-02 9.590113e-01 3.540367e-01
7.760776e-02 4.140567e-02 9.585943e-01 3.540367e-01
7.800780e-02 4.182466e-02 9.581753e-01 3.540367e-01
7.840784e-02 4.224561e-02 9.577544e-01 3.540367e-01
7.880788e-02 4.266854e-02 9.573315e-01 3.540367e-01
7.920792e-02 4.309343e-02 9.569066e-01 3.540367e-01
7.960796e-02 4.352028e-02 9.564797e-01 3.540367e-01
8.000800e-02 4.394909e-02 9.560509e-01 3.540367e-01
8.040804e-02 4.437985e-02 9.556201e-01 3.540367e-01
8.080808e-02 4.481257e-02 9.551874e-01 3.540367e-01
8.120812e-02 4.524724e-02 9.547528e-01 3.540367e-01
8.160816e-02 4.568386e-02 9.543161e-01 3.540367e-01
8.200820e-02 4.612243e-02 9.538776e-01 3.540367e-01
8.240824e-02 4.656294e-02 9.534371e-01 3.540367e-01
8.280828e-02 4.700538e-02 9.529946e-01 3.540367e-01
8.320832e-02 4.744977e-02 9.525502e-01 3.540367e-01
8.360836e-02 4.789608e-02 9.521039e-01 3.540367e-01
8.400840e-02 4.834433e-02 9.516557e-01 3.540367e-01
8.440844e-02 4.879451e-02 9.512055e-01 3.540367e-01
8.480848e-02 4.924661e-02 9.507534e-01 3.540367e-01
8.520852e-02 4.970063e-02 9.502994e-01 3.540367e-01
8.560856e-02 5.015657e-02 9.498434e-01 3.540367e-01
8.600860e-02 5.061443e-02 9.493856e-01 3.540367e-01
8.640864e-02 5.107420e-02 9.489258e-01 3.540367e-01
8.680868e-02 5.153588e-02 9.484641e-01 3.540367e-01
