t P_alpha_to_beta P_alpha_to_alpha
0.000000e+00 7.861194e-17 1.000000e+00
1.000100e-03 6.890811e-07 9.999993e-01
2.000200e-03 2.756322e-06 9.999972e-01
3.000300e-03 6.201714e-06 9.999938e-01
4.000400e-03 1.102524e-05 9.999890e-01
5.000500e-03 1.722689e-05 9.999828e-01
6.000600e-03 2.480663e-05 9.999752e-01
7.000700e-03 3.376444e-05 9.999662e-01
8.000800e-03 4.410028e-05 9.999559e-01
9.000900e-03 5.581410e-05 9.999442e-01
1.000100e-02 6.890586e-05 9.999311e-01
1.100110e-02 8.337551e-05 9.999166e-01
1.200120e-02 9.922300e-05 9.999008e-01
1.300130e-02 1.164482e-04 9.998836e-01
1.400140e-02 1.350512e-04 9.998649e-01
1.500150e-02 1.550318e-04 9.998450e-01
1.600160e-02 1.763899e-04 9.998236e-01
1.700170e-02 1.991255e-04 9.998009e-01
1.800180e-02 2.232385e-04 9.997768e-01
1.900190e-02 2.487287e-04 9.997513e-01
2.000200e-02 2.755961e-04 9.997244e-01
2.100210e-02 3.038406e-04 9.996962e-01
2.200220e-02 3.334620e-04 9.996665e-01
2.300230e-02 3.644603e-04 9.996355e-01
2.400240e-02 3.968353e-04 9.996032e-01
2.500250e-02 4.305869e-04 9.995694e-01
2.600260e-02 4.657150e-04 9.995343e-01
2.700270e-02 5.022193e-04 9.994978e-01
2.800280e-02 5.400999e-04 9.994599e-01
2.900290e-02 5.793564e-04 9.994206e-01
3.000300e-02 6.199888e-04 9.993800e-01
3.100310e-02 6.619969e-04 9.993380e-01
3.200320e-02 7.053806e-04 9.992946e-01
3.300330e-02 7.501396e-04 9.992499e-01
3.400340e-02 7.962738e-04 9.992037e-01
3.500350e-02 8.437830e-04 9.991562e-01
3.600360e-02 8.926671e-04 9.991073e-01
3.700370e-02 9.429257e-04 9.990571e-01
3.800380e-02 9.945588e-04 9.990054e-01
3.900390e-02 1.047566e-03 9.989524e-01
4.000400e-02 1.101947e-03 9.988981e-01
4.100410e-02 1.157703e-03 9.988423e-01
4.200420e-02 1.214831e-03 9.987852e-01
4.300430e-02 1.273333e-03 9.987267e-01
4.400440e-02 1.333208e-03 9.986668e-01
4.500450e-02 1.394456e-03 9.986055e-01
4.600460e-02 1.457077e-03 9.985429e-01
4.700470e-02 1.521070e-03 9.984789e-01
4.800480e-02 1.586435e-03 9.984136e-01
4.900490e-02 1.653172e-03 9.983468e-01
5.000500e-02 1.721281e-03 9.982787e-01
5.100510e-02 1.790761e-03 9.982092e-01
5.200520e-02 1.861612e-03 9.981384e-01
5.300530e-02 1.933834e-03 9.980662e-01
5.400540e-02 2.007426e-03 9.979926e-01
5.500550e-02 2.082388e-03 9.979176e-01
5.600560e-02 2.158721e-03 9.978413e-01
5.700570e-02 2.236423e-03 9.977636e-01
5.800580e-02 2.315494e-03 9.976845e-01
5.900590e-02 2.395934e-03 9.976041e-01
6.000600e-02 2.477743e-03 9.975223e-01
6.100610e-02 2.560921e-03 9.974391e-01
6.200620e-02 2.645466e-03 9.973545e-01
6.300630e-02 2.731379e-03 9.972686e-01
6.400640e-02 2.818659e-03 9.971813e-01
6.500650e-02 2.907306e-03 9.970927e-01
6.600660e-02 2.997320e-03 9.970027e-01
6.700670e-02 3.088701e-03 9.969113e-01
6.800680e-02 3.181447e-03 9.968186e-01
6.900690e-02 3.275558e-03 9.967244e-01
7.000700e-02 3.371035e-03 9.966290e-01
7.100710e-02 3.467877e-03 9.965321e-01
7.200720e-02 3.566083e-03 9.964339e-01
7.300730e-02 3.665653e-03 9.963343e-01
7.400740e-02 3.766587e-03 9.962334e-01
7.500750e-02 3.868884e-03 9.961311e-01
7.600760e-02 3.972543e-03 9.960275e-01
7.700770e-02 4.077565e-03 9.959224e-01
7.800780e-02 4.183950e-03 9.958161e-01
7.900790e-02 4.291695e-03 9.957083e-01
8.000800e-02 4.400802e-03 9.955992e-01
8.100810e-02 4.511270e-03 9.954887e-01
8.200820e-02 4.623098e-03 9.953769e-01
8.300830e-02 4.736285e-03 9.952637e-01
8.400840e-02 4.850832e-03 9.951492e-01
8.500850e-02 4.966738e-03 9.950333e-01
8.600860e-02 5.084003e-03 9.949160e-01
8.700870e-02 5.202625e-03 9.947974e-01
8.800880e-02 5.322605e-03 9.946774e-01
8.900890e-02 5.443942e-03 9.945561e-01
9.000900e-02 5.566636e-03 9.944334e-01
9.100910e-02 5.690686e-03 9.943093e-01
9.200920e-02 5.816091e-03 9.941839e-01
9.300930e-02 5.942851e-03 9.940571e-01
9.400940e-02 6.070966e-03 9.939290e-01
9.500950e-02 6.200435e-03 9.937996e-01
9.600960e-02 6.331258e-03 9.936687e-01
9.700970e-02 6.463434e-03 9.935366e-01
9.800980e-02 6.596962e-03 9.934030e-01
9.900990e-02 6.731842e-03 9.932682e-01
1.000100e-01 6.868074e-03 9.931319e-01
1.010101e-01 7.005657e-03 9.929943e-01
1.020102e-01 7.144590e-03 9.928554e-01
1.030103e-01 7.284873e-03 9.927151e-01
1.040104e-01 7.426505e-03 9.925735e-01
1.050105e-01 7.569486e-03 9.924305e-01
1.060106e-01 7.713815e-03 9.922862e-01
1.070107e-01 7.859491e-03 9.921405e-01
1.080108e-01 8.006515e-03 9.919935e-01
1.090109e-01 8.154885e-03 9.918451e-01
1.100110e-01 8.304601e-03 9.916954e-01
1.110111e-01 8.455662e-03 9.915443e-01
1.120112e-01 8.608068e-03 9.913919e-01
1.130113e-01 8.761817e-03 9.912382e-01
1.140114e-01 8.916911e-03 9.910831e-01
1.150115e-01 9.073347e-03 9.909267e-01
1.160116e-01 9.231125e-03 9.907689e-01
1.170117e-01 9.390244e-03 9.906098e-01
1.180118e-01 9.550705e-03 9.904493e-01
1.190119e-01 9.712506e-03 9.902875e-01
1.200120e-01 9.875647e-03 9.901244e-01
1.210121e-01 1.004013e-02 9.899599e-01
1.220122e-01 1.020594e-02 9.897941e-01
1.230123e-01 1.037310e-02 9.896269e-01
1.240124e-01 1.054159e-02 9.894584e-01
1.250125e-01 1.071142e-02 9.892886e-01
1.260126e-01 1.088259e-02 9.891174e-01
1.270127e-01 1.105509e-02 9.889449e-01
1.280128e-01 1.122892e-02 9.887711e-01
1.290129e-01 1.140409e-02 9.885959e-01
1.300130e-01 1.158059e-02 9.884194e-01
1.310131e-01 1.175842e-02 9.882416e-01
1.320132e-01 1.193759e-02 9.880624e-01
1.330133e-01 1.211808e-02 9.878819e-01
1.340134e-01 1.229991e-02 9.877001e-01
1.350135e-01 1.248306e-02 9.875169e-01
1.360136e-01 1.266755e-02 9.873325e-01
1.370137e-01 1.285336e-02 9.871466e-01
1.380138e-01 1.304050e-02 9.869595e-01
1.390139e-01 1.322896e-02 9.867710e-01
1.400140e-01 1.341875e-02 9.865812e-01
1.410141e-01 1.360987e-02 9.863901e-01
1.420142e-01 1.380231e-02 9.861977e-01
1.430143e-01 1.399607e-02 9.860039e-01
1.440144e-01 1.419116e-02 9.858088e-01
1.450145e-01 1.438756e-02 9.856124e-01
1.460146e-01 1.458529e-02 9.854147e-01
1.470147e-01 1.478434e-02 9.852157e-01
1.480148e-01 1.498471e-02 9.850153e-01
1.490149e-01 1.518640e-02 9.848136e-01
1.500150e-01 1.538940e-02 9.846106e-01
1.510151e-01 1.559373e-02 9.844063e-01
1.520152e-01 1.579937e-02 9.842006e-01
1.530153e-01 1.600632e-02 9.839937e-01
1.540154e-01 1.621459e-02 9.837854e-01
1.550155e-01 1.642417e-02 9.835758e-01
1.560156e-01 1.663507e-02 9.833649e-01
1.570157e-01 1.684728e-02 9.831527e-01
1.580158e-01 1.706080e-02 9.829392e-01
1.590159e-01 1.727563e-02 9.827244e-01
1.600160e-01 1.749177e-02 9.825082e-01
1.610161e-01 1.770922e-02 9.822908e-01
1.620162e-01 1.792797e-02 9.820720e-01
1.630163e-01 1.814804e-02 9.818520e-01
1.640164e-01 1.836941e-02 9.816306e-01
1.650165e-01 1.859208e-02 9.814079e-01
1.660166e-01 1.881606e-02 9.811839e-01
1.670167e-01 1.904135e-02 9.809587e-01
1.680168e-01 1.926793e-02 9.807321e-01
1.690169e-01 1.949582e-02 9.805042e-01
1.700170e-01 1.972501e-02 9.802750e-01
1.710171e-01 1.995550e-02 9.800445e-01
1.720172e-01 2.018729e-02 9.798127e-01
1.730173e-01 2.042037e-02 9.795796e-01
1.740174e-01 2.065476e-02 9.793452e-01
1.750175e-01 2.089043e-02 9.791096e-01
1.760176e-01 2.112741e-02 9.788726e-01
1.770177e-01 2.136568e-02 9.786343e-01
1.780178e-01 2.160524e-02 9.783948e-01
1.790179e-01 2.184610e-02 9.781539e-01
1.800180e-01 2.208824e-02 9.779118e-01
1.810181e-01 2.233168e-02 9.776683e-01
1.820182e-01 2.257641e-02 9.774236e-01
1.830183e-01 2.282242e-02 9.771776e-01
1.840184e-01 2.306973e-02 9.769303e-01
1.850185e-01 2.331832e-02 9.766817e-01
1.860186e-01 2.356819e-02 9.764318e-01
1.870187e-01 2.381935e-02 9.761806e-01
1.880188e-01 2.407179e-02 9.759282e-01
1.890189e-01 2.432552e-02 9.756745e-01
1.900190e-01 2.458053e-02 9.754195e-01
1.910191e-01 2.483682e-02 9.751632e-01
1.920192e-01 2.509439e-02 9.749056e-01
1.930193e-01 2.535324e-02 9.746468e-01
1.940194e-01 2.561336e-02 9.743866e-01
1.950195e-01 2.587476e-02 9.741252e-01
1.960196e-01 2.613744e-02 9.738626e-01
1.970197e-01 2.640139e-02 9.735986e-01
1.980198e-01 2.666662e-02 9.733334e-01
1.990199e-01 2.693312e-02 9.730669e-01
2.000200e-01 2.720089e-02 9.727991e-01
2.010201e-01 2.746992e-02 9.725301e-01
2.020202e-01 2.774023e-02 9.722598e-01
2.030203e-01 2.801181e-02 9.719882e-01
2.040204e-01 2.828465e-02 9.717153e-01
2.050205e-01 2.855877e-02 9.714412e-01
2.060206e-01 2.883414e-02 9.711659e-01
2.070207e-01 2.911078e-02 9.708892e-01
2.080208e-01 2.938868e-02 9.706113e-01
2.090209e-01 2.966784e-02 9.703322e-01
2.100210e-01 2.994827e-02 9.700517e-01
2.110211e-01 3.022995e-02 9.697700e-01
2.120212e-01 3.051289e-02 9.694871e-01
2.130213e-01 3.079709e-02 9.692029e-01
2.140214e-01 3.108255e-02 9.689175e-01
2.150215e-01 3.136926e-02 9.686307e-01
2.160216e-01 3.165722e-02 9.683428e-01
2.170217e-01 3.194644e-02 9.680536e-01
2.180218e-01 3.223691e-02 9.677631e-01
2.190219e-01 3.252862e-02 9.674714e-01
2.200220e-01 3.282159e-02 9.671784e-01
2.210221e-01 3.311581e-02 9.668842e-01
2.220222e-01 3.341127e-02 9.665887e-01
2.230223e-01 3.370798e-02 9.662920e-01
2.240224e-01 3.400593e-02 9.659941e-01
2.250225e-01 3.430513e-02 9.656949e-01
2.260226e-01 3.460557e-02 9.653944e-01
2.270227e-01 3.490724e-02 9.650928e-01
2.280228e-01 3.521016e-02 9.647898e-01
2.290229e-01 3.551432e-02 9.644857e-01
2.300230e-01 3.581972e-02 9.641803e-01
2.310231e-01 3.612635e-02 9.638737e-01
2.320232e-01 3.643421e-02 9.635658e-01
2.330233e-01 3.674331e-02 9.632567e-01
2.340234e-01 3.705365e-02 9.629464e-01
2.350235e-01 3.736521e-02 9.626348e-01
2.360236e-01 3.767800e-02 9.623220e-01
2.370237e-01 3.799203e-02 9.620080e-01
2.380238e-01 3.830728e-02 9.616927e-01
2.390239e-01 3.862375e-02 9.613762e-01
2.400240e-01 3.894145e-02 9.610585e-01
2.410241e-01 3.926038e-02 9.607396e-01
2.420242e-01 3.958053e-02 9.604195e-01
2.430243e-01 3.990190e-02 9.600981e-01
2.440244e-01 4.022448e-02 9.597755e-01
2.450245e-01 4.054829e-02 9.594517e-01
2.460246e-01 4.087332e-02 9.591267e-01
2.470247e-01 4.119956e-02 9.588004e-01
2.480248e-01 4.152702e-02 9.584730e-01
2.490249e-01 4.185568e-02 9.581443e-01
2.500250e-01 4.218557e-02 9.578144e-01
2.510251e-01 4.251666e-02 9.574833e-01
2.520252e-01 4.284896e-02 9.571510e-01
2.530253e-01 4.318247e-02 9.568175e-01
2.540254e-01 4.351719e-02 9.564828e-01
2.550255e-01 4.385311e-02 9.561469e-01
2.560256e-01 4.419024e-02 9.558098e-01
2.570257e-01 4.452857e-02 9.554714e-01
2.580258e-01 4.486811e-02 9.551319e-01
2.590259e-01 4.520884e-02 9.547912e-01
2.600260e-01 4.555077e-02 9.544492e-01
2.610261e-01 4.589390e-02 9.541061e-01
2.620262e-01 4.623823e-02 9.537618e-01
2.630263e-01 4.658375e-02 9.534163e-01
2.640264e-01 4.693046e-02 9.530695e-01
2.650265e-01 4.727837e-02 9.527216e-01
2.660266e-01 4.762746e-02 9.523725e-01
2.670267e-01 4.797775e-02 9.520222e-01
2.680268e-01 4.832922e-02 9.516708e-01
2.690269e-01 4.868189e-02 9.513181e-01
2.700270e-01 4.903573e-02 9.509643e-01
2.710271e-01 4.939076e-02 9.506092e-01
2.720272e-01 4.974697e-02 9.502530e-01
2.730273e-01 5.010437e-02 9.498956e-01
2.740274e-01 5.046294e-02 9.495371e-01
2.750275e-01 5.082269e-02 9.491773e-01
2.760276e-01 5.118362e-02 9.488164e-01
2.770277e-01 5.154572e-02 9.484543e-01
2.780278e-01 5.190900e-02 9.480910e-01
2.790279e-01 5.227345e-02 9.477266e-01
2.800280e-01 5.263907e-02 9.473609e-01
2.810281e-01 5.300586e-02 9.469941e-01
2.820282e-01 5.337382e-02 9.466262e-01
2.830283e-01 5.374294e-02 9.462571e-01
