x real_part imag_part
-2.000000e+00 -1.372749e-02 8.900366e-03
-1.995749e+00 -1.415191e-02 8.754037e-03
-1.991498e+00 -1.457982e-02 8.595749e-03
-1.987247e+00 -1.501097e-02 8.425238e-03
-1.982996e+00 -1.544514e-02 8.242239e-03
-1.978745e+00 -1.588207e-02 8.046492e-03
-1.974494e+00 -1.632150e-02 7.837737e-03
-1.970243e+00 -1.676316e-02 7.615720e-03
-1.965991e+00 -1.720676e-02 7.380187e-03
-1.961740e+00 -1.765202e-02 7.130888e-03
-1.957489e+00 -1.809863e-02 6.867579e-03
-1.953238e+00 -1.854628e-02 6.590016e-03
-1.948987e+00 -1.899465e-02 6.297963e-03
-1.944736e+00 -1.944340e-02 5.991186e-03
-1.940485e+00 -1.989219e-02 5.669458e-03
-1.936234e+00 -2.034067e-02 5.332555e-03
-1.931983e+00 -2.078846e-02 4.980262e-03
-1.927732e+00 -2.123520e-02 4.612367e-03
-1.923481e+00 -2.168049e-02 4.228665e-03
-1.919230e+00 -2.212394e-02 3.828959e-03
-1.914979e+00 -2.256514e-02 3.413059e-03
-1.910728e+00 -2.300367e-02 2.980780e-03
-1.906477e+00 -2.343911e-02 2.531948e-03
-1.902226e+00 -2.387101e-02 2.066396e-03
-1.897974e+00 -2.429893e-02 1.583965e-03
-1.893723e+00 -2.472241e-02 1.084505e-03
-1.889472e+00 -2.514097e-02 5.678772e-04
-1.885221e+00 -2.555414e-02 3.395038e-05
-1.880970e+00 -2.596143e-02 -5.173954e-04
-1.876719e+00 -2.636234e-02 -1.086270e-03
-1.872468e+00 -2.675636e-02 -1.672771e-03
-1.868217e+00 -2.714298e-02 -2.276988e-03
-1.863966e+00 -2.752166e-02 -2.898994e-03
-1.859715e+00 -2.789187e-02 -3.538854e-03
-1.855464e+00 -2.825306e-02 -4.196619e-03
-1.851213e+00 -2.860469e-02 -4.872327e-03
-1.846962e+00 -2.894618e-02 -5.566002e-03
-1.842711e+00 -2.927697e-02 -6.277655e-03
-1.838460e+00 -2.959648e-02 -7.007284e-03
-1.834209e+00 -2.990412e-02 -7.754871e-03
-1.829957e+00 -3.019931e-02 -8.520383e-03
-1.825706e+00 -3.048143e-02 -9.303773e-03
-1.821455e+00 -3.074988e-02 -1.010498e-02
-1.817204e+00 -3.100405e-02 -1.092392e-02
-1.812953e+00 -3.124332e-02 -1.176050e-02
-1.808702e+00 -3.146706e-02 -1.261460e-02
-1.804451e+00 -3.167465e-02 -1.348610e-02
-1.800200e+00 -3.186543e-02 -1.437486e-02
-1.795949e+00 -3.203878e-02 -1.528070e-02
-1.791698e+00 -3.219405e-02 -1.620344e-02
-1.787447e+00 -3.233059e-02 -1.714288e-02
-1.783196e+00 -3.244774e-02 -1.809880e-02
-1.778945e+00 -3.254485e-02 -1.907096e-02
-1.774694e+00 -3.262127e-02 -2.005910e-02
