x prob_density
-2.000000e+00 1.835013e-09
-1.995749e+00 1.872304e-09
-1.991498e+00 1.910332e-09
-1.987247e+00 1.949112e-09
-1.982996e+00 1.988657e-09
-1.978745e+00 2.028984e-09
-1.974494e+00 2.070106e-09
-1.970243e+00 2.112038e-09
-1.965991e+00 2.154797e-09
-1.961740e+00 2.198398e-09
-1.957489e+00 2.242858e-09
-1.953238e+00 2.288192e-09
-1.948987e+00 2.334417e-09
-1.944736e+00 2.381551e-09
-1.940485e+00 2.429611e-09
-1.936234e+00 2.478614e-09
-1.931983e+00 2.528578e-09
-1.927732e+00 2.579522e-09
-1.923481e+00 2.631464e-09
-1.919230e+00 2.684423e-09
-1.914979e+00 2.738419e-09
-1.910728e+00 2.793471e-09
-1.906477e+00 2.849599e-09
-1.902226e+00 2.906824e-09
-1.897974e+00 2.965166e-09
-1.893723e+00 3.024647e-09
-1.889472e+00 3.085289e-09
-1.885221e+00 3.147112e-09
-1.880970e+00 3.210140e-09
-1.876719e+00 3.274395e-09
-1.872468e+00 3.339901e-09
-1.868217e+00 3.406680e-09
-1.863966e+00 3.474758e-09
-1.859715e+00 3.544158e-09
-1.855464e+00 3.614906e-09
-1.851213e+00 3.687027e-09
-1.846962e+00 3.760546e-09
-1.842711e+00 3.835490e-09
-1.838460e+00 3.911886e-09
-1.834209e+00 3.989761e-09
-1.829957e+00 4.069142e-09
-1.825706e+00 4.150059e-09
-1.821455e+00 4.232539e-09
-1.817204e+00 4.316613e-09
-1.812953e+00 4.402309e-09
-1.808702e+00 4.489659e-09
-1.804451e+00 4.578693e-09
-1.800200e+00 4.669443e-09
-1.795949e+00 4.761940e-09
-1.791698e+00 4.856218e-09
-1.787447e+00 4.952309e-09
-1.783196e+00 5.050248e-09
-1.778945e+00 5.150069e-09
-1.774694e+00 5.251806e-09
-1.770443e+00 5.355496e-09
-1.766192e+00 5.461175e-09
-1.761940e+00 5.568879e-09
-1.757689e+00 5.678647e-09
-1.753438e+00 5.790517e-09
-1.749187e+00 5.904527e-09
-1.744936e+00 6.020718e-09
-1.740685e+00 6.139129e-09
-1.736434e+00 6.259803e-09
-1.732183e+00 6.382780e-09
-1.727932e+00 6.508103e-09
-1.723681e+00 6.635816e-09
-1.719430e+00 6.765963e-09
-1.715179e+00 6.898589e-09
-1.710928e+00 7.033740e-09
-1.706677e+00 7.171461e-09
-1.702426e+00 7.311801e-09
-1.698175e+00 7.454807e-09
-1.693923e+00 7.600530e-09
-1.689672e+00 7.749017e-09
-1.685421e+00 7.900322e-09
-1.681170e+00 8.054494e-09
-1.676919e+00 8.211587e-09
-1.672668e+00 8.371655e-09
-1.668417e+00 8.534751e-09
-1.664166e+00 8.700932e-09
-1.659915e+00 8.870254e-09
-1.655664e+00 9.042774e-09
-1.651413e+00 9.218551e-09
-1.647162e+00 9.397644e-09
-1.642911e+00 9.580115e-09
-1.638660e+00 9.766023e-09
-1.634409e+00 9.955433e-09
-1.630158e+00 1.014841e-08
-1.625906e+00 1.034501e-08
-1.621655e+00 1.054531e-08
-1.617404e+00 1.074938e-08
-1.613153e+00 1.095727e-08
-1.608902e+00 1.116907e-08
-1.604651e+00 1.138484e-08
-1.600400e+00 1.160466e-08
-1.596149e+00 1.182859e-08
-1.591898e+00 1.205671e-08
-1.587647e+00 1.228910e-08
-1.583396e+00 1.252584e-08
-1.579145e+00 1.276700e-08
-1.574894e+00 1.301267e-08
-1.570643e+00 1.326292e-08
-1.566392e+00 1.351783e-08
-1.562141e+00 1.377750e-08
-1.557889e+00 1.404201e-08
-1.553638e+00 1.431145e-08
-1.549387e+00 1.458589e-08
-1.545136e+00 1.486545e-08
-1.540885e+00 1.515019e-08
-1.536634e+00 1.544023e-08
-1.532383e+00 1.573565e-08
-1.528132e+00 1.603655e-08
-1.523881e+00 1.634304e-08
-1.519630e+00 1.665520e-08
-1.515379e+00 1.697314e-08
-1.511128e+00 1.729696e-08
-1.506877e+00 1.762678e-08
-1.502626e+00 1.796269e-08
-1.498375e+00 1.830481e-08
-1.494124e+00 1.865324e-08
-1.489872e+00 1.900811e-08
-1.485621e+00 1.936951e-08
-1.481370e+00 1.973758e-08
-1.477119e+00 2.011243e-08
-1.472868e+00 2.049418e-08
-1.468617e+00 2.088295e-08
-1.464366e+00 2.127886e-08
-1.460115e+00 2.168205e-08
-1.455864e+00 2.209265e-08
-1.451613e+00 2.251078e-08
-1.447362e+00 2.293657e-08
-1.443111e+00 2.337018e-08
-1.438860e+00 2.381172e-08
-1.434609e+00 2.426135e-08
-1.430358e+00 2.471920e-08
-1.426107e+00 2.518542e-08
-1.421855e+00 2.566017e-08
-1.417604e+00 2.614358e-08
-1.413353e+00 2.663581e-08
-1.409102e+00 2.713702e-08
-1.404851e+00 2.764737e-08
-1.400600e+00 2.816702e-08
-1.396349e+00 2.869612e-08
-1.392098e+00 2.923485e-08
-1.387847e+00 2.978338e-08
-1.383596e+00 3.034187e-08
-1.379345e+00 3.091051e-08
-1.375094e+00 3.148946e-08
-1.370843e+00 3.207892e-08
-1.366592e+00 3.267906e-08
-1.362341e+00 3.329007e-08
-1.358090e+00 3.391215e-08
-1.353838e+00 3.454548e-08
-1.349587e+00 3.519026e-08
-1.345336e+00 3.584669e-08
-1.341085e+00 3.651498e-08
-1.336834e+00 3.719533e-08
-1.332583e+00 3.788794e-08
-1.328332e+00 3.859305e-08
-1.324081e+00 3.931085e-08
-1.319830e+00 4.004158e-08
-1.315579e+00 4.078546e-08
-1.311328e+00 4.154271e-08
-1.307077e+00 4.231357e-08
-1.302826e+00 4.309827e-08
-1.298575e+00 4.389705e-08
-1.294324e+00 4.471016e-08
-1.290073e+00 4.553784e-08
-1.285821e+00 4.638035e-08
-1.281570e+00 4.723795e-08
-1.277319e+00 4.811088e-08
-1.273068e+00 4.899943e-08
-1.268817e+00 4.990385e-08
-1.264566e+00 5.082442e-08
-1.260315e+00 5.176141e-08
-1.256064e+00 5.271512e-08
-1.251813e+00 5.368583e-08
-1.247562e+00 5.467383e-08
-1.243311e+00 5.567941e-08
-1.239060e+00 5.670288e-08
-1.234809e+00 5.774455e-08
-1.230558e+00 5.880473e-08
-1.226307e+00 5.988373e-08
-1.222056e+00 6.098188e-08
-1.217804e+00 6.209950e-08
-1.213553e+00 6.323692e-08
-1.209302e+00 6.439449e-08
-1.205051e+00 6.557255e-08
-1.200800e+00 6.677145e-08
-1.196549e+00 6.799154e-08
-1.192298e+00 6.923319e-08
-1.188047e+00 7.049675e-08
-1.183796e+00 7.178261e-08
-1.179545e+00 7.309114e-08
-1.175294e+00 7.442273e-08
-1.171043e+00 7.577777e-08
-1.166792e+00 7.715665e-08
-1.162541e+00 7.855979e-08
-1.158290e+00 7.998759e-08
-1.154039e+00 8.144046e-08
-1.149787e+00 8.291884e-08
-1.145536e+00 8.442315e-08
-1.141285e+00 8.595384e-08
-1.137034e+00 8.751134e-08
-1.132783e+00 8.909611e-08
-1.128532e+00 9.070861e-08
-1.124281e+00 9.234931e-08
-1.120030e+00 9.401867e-08
-1.115779e+00 9.571719e-08
-1.111528e+00 9.744536e-08
-1.107277e+00 9.920366e-08
-1.103026e+00 1.009926e-07
-1.098775e+00 1.028127e-07
-1.094524e+00 1.046645e-07
-1.090273e+00 1.065485e-07
-1.086022e+00 1.084653e-07
-1.081770e+00 1.104154e-07
-1.077519e+00 1.123993e-07
-1.073268e+00 1.144176e-07
-1.069017e+00 1.164710e-07
-1.064766e+00 1.185599e-07
-1.060515e+00 1.206850e-07
-1.056264e+00 1.228469e-07
-1.052013e+00 1.250461e-07
-1.047762e+00 1.272834e-07
-1.043511e+00 1.295593e-07
-1.039260e+00 1.318745e-07
-1.035009e+00 1.342297e-07
-1.030758e+00 1.366254e-07
-1.026507e+00 1.390624e-07
-1.022256e+00 1.415414e-07
-1.018005e+00 1.440630e-07
-1.013753e+00 1.466280e-07
-1.009502e+00 1.492370e-07
-1.005251e+00 1.518909e-07
-1.001000e+00 1.545903e-07
-9.967492e-01 1.573360e-07
-9.924981e-01 1.601287e-07
-9.882471e-01 1.629693e-07
-9.839960e-01 1.658584e-07
-9.797449e-01 1.687970e-07
-9.754939e-01 1.717858e-07
-9.712428e-01 1.748257e-07
-9.669917e-01 1.779175e-07
-9.627407e-01 1.810620e-07
-9.584896e-01 1.842601e-07
-9.542386e-01 1.875127e-07
-9.499875e-01 1.908207e-07
-9.457364e-01 1.941849e-07
-9.414854e-01 1.976063e-07
-9.372343e-01 2.010859e-07
-9.329832e-01 2.046246e-07
-9.287322e-01 2.082233e-07
-9.244811e-01 2.118830e-07
-9.202301e-01 2.156048e-07
-9.159790e-01 2.193896e-07
-9.117279e-01 2.232384e-07
-9.074769e-01 2.271523e-07
-9.032258e-01 2.311324e-07
-8.989747e-01 2.351797e-07
-8.947237e-01 2.392953e-07
-8.904726e-01 2.434803e-07
-8.862216e-01 2.477359e-07
-8.819705e-01 2.520631e-07
-8.777194e-01 2.564632e-07
-8.734684e-01 2.609374e-07
-8.692173e-01 2.654867e-07
-8.649662e-01 2.701124e-07
-8.607152e-01 2.748159e-07
-8.564641e-01 2.795982e-07
-8.522131e-01 2.844607e-07
-8.479620e-01 2.894047e-07
-8.437109e-01 2.944314e-07
-8.394599e-01 2.995423e-07
-8.352088e-01 3.047386e-07
-8.309577e-01 3.100217e-07
-8.267067e-01 3.153931e-07
-8.224556e-01 3.208541e-07
-8.182046e-01 3.264062e-07
-8.139535e-01 3.320508e-07
-8.097024e-01 3.377893e-07
-8.054514e-01 3.436234e-07
-8.012003e-01 3.495546e-07
-7.969492e-01 3.555842e-07
-7.926982e-01 3.617141e-07
-7.884471e-01 3.679456e-07
-7.841960e-01 3.742805e-07
-7.799450e-01 3.807205e-07
-7.756939e-01 3.872670e-07
-7.714429e-01 3.939220e-07
-7.671918e-01 4.006870e-07
-7.629407e-01 4.075638e-07
-7.586897e-01 4.145542e-07
-7.544386e-01 4.216601e-07
-7.501875e-01 4.288831e-07
-7.459365e-01 4.362252e-07
-7.416854e-01 4.436882e-07
-7.374344e-01 4.512741e-07
-7.331833e-01 4.589848e-07
-7.289322e-01 4.668222e-07
-7.246812e-01 4.747884e-07
-7.204301e-01 4.828854e-07
-7.161790e-01 4.911152e-07
-7.119280e-01 4.994799e-07
-7.076769e-01 5.079817e-07
-7.034259e-01 5.166226e-07
-6.991748e-01 5.254049e-07
-6.949237e-01 5.343308e-07
-6.906727e-01 5.434026e-07
-6.864216e-01 5.526224e-07
-6.821705e-01 5.619926e-07
-6.779195e-01 5.715156e-07
-6.736684e-01 5.811938e-07
-6.694174e-01 5.910296e-07
-6.651663e-01 6.010253e-07
-6.609152e-01 6.111836e-07
-6.566642e-01 6.215070e-07
-6.524131e-01 6.319979e-07
