x prob_density
-2.000000e+00 2.676605e-04
-1.995749e+00 2.769097e-04
-1.991498e+00 2.864579e-04
-1.987247e+00 2.963139e-04
-1.982996e+00 3.064869e-04
-1.978745e+00 3.169862e-04
-1.974494e+00 3.278214e-04
-1.970243e+00 3.390026e-04
-1.965991e+00 3.505397e-04
-1.961740e+00 3.624433e-04
-1.957489e+00 3.747241e-04
-1.953238e+00 3.873929e-04
-1.948987e+00 4.004611e-04
-1.944736e+00 4.139402e-04
-1.940485e+00 4.278421e-04
-1.936234e+00 4.421789e-04
-1.931983e+00 4.569631e-04
-1.927732e+00 4.722074e-04
-1.923481e+00 4.879251e-04
-1.919230e+00 5.041295e-04
-1.914979e+00 5.208343e-04
-1.910728e+00 5.380539e-04
-1.906477e+00 5.558025e-04
-1.902226e+00 5.740951e-04
-1.897974e+00 5.929469e-04
-1.893723e+00 6.123735e-04
-1.889472e+00 6.323908e-04
-1.885221e+00 6.530152e-04
-1.880970e+00 6.742636e-04
-1.876719e+00 6.961530e-04
-1.872468e+00 7.187011e-04
-1.868217e+00 7.419258e-04
-1.863966e+00 7.658457e-04
-1.859715e+00 7.904797e-04
-1.855464e+00 8.158470e-04
-1.851213e+00 8.419676e-04
-1.846962e+00 8.688616e-04
-1.842711e+00 8.965499e-04
-1.838460e+00 9.250536e-04
-1.834209e+00 9.543946e-04
-1.829957e+00 9.845950e-04
-1.825706e+00 1.015678e-03
-1.821455e+00 1.047666e-03
-1.817204e+00 1.080583e-03
-1.812953e+00 1.114454e-03
-1.808702e+00 1.149304e-03
-1.804451e+00 1.185158e-03
-1.800200e+00 1.222042e-03
-1.795949e+00 1.259983e-03
-1.791698e+00 1.299008e-03
-1.787447e+00 1.339145e-03
-1.783196e+00 1.380422e-03
-1.778945e+00 1.422869e-03
-1.774694e+00 1.466515e-03
-1.770443e+00 1.511390e-03
-1.766192e+00 1.557526e-03
-1.761940e+00 1.604954e-03
-1.757689e+00 1.653707e-03
-1.753438e+00 1.703818e-03
-1.749187e+00 1.755321e-03
-1.744936e+00 1.808249e-03
-1.740685e+00 1.862639e-03
-1.736434e+00 1.918526e-03
-1.732183e+00 1.975947e-03
-1.727932e+00 2.034939e-03
-1.723681e+00 2.095542e-03
-1.719430e+00 2.157793e-03
-1.715179e+00 2.221733e-03
-1.710928e+00 2.287402e-03
-1.706677e+00 2.354841e-03
-1.702426e+00 2.424094e-03
-1.698175e+00 2.495204e-03
