x real_part imag_part
-1.498375e+00 -1.352580e-04 -3.175928e-06
-1.494124e+00 -1.365435e-04 -3.018656e-06
-1.489872e+00 -1.378402e-04 -2.859867e-06
-1.485621e+00 -1.391482e-04 -2.699567e-06
-1.481370e+00 -1.404676e-04 -2.537761e-06
-1.477119e+00 -1.417984e-04 -2.374456e-06
-1.472868e+00 -1.431408e-04 -2.209658e-06
-1.468617e+00 -1.444949e-04 -2.043374e-06
-1.464366e+00 -1.458607e-04 -1.875612e-06
-1.460115e+00 -1.472384e-04 -1.706380e-06
-1.455864e+00 -1.486280e-04 -1.535686e-06
-1.451613e+00 -1.500297e-04 -1.363538e-06
-1.447362e+00 -1.514436e-04 -1.189946e-06
-1.443111e+00 -1.528697e-04 -1.014919e-06
-1.438860e+00 -1.543082e-04 -8.384681e-07
-1.434609e+00 -1.557591e-04 -6.606029e-07
-1.430358e+00 -1.572227e-04 -4.813348e-07
-1.426107e+00 -1.586989e-04 -3.006752e-07
-1.421855e+00 -1.601879e-04 -1.186363e-07
-1.417604e+00 -1.616897e-04 6.476952e-08
-1.413353e+00 -1.632046e-04 2.495292e-07
-1.409102e+00 -1.647326e-04 4.356291e-07
-1.404851e+00 -1.662738e-04 6.230552e-07
-1.400600e+00 -1.678284e-04 8.117929e-07
-1.396349e+00 -1.693963e-04 1.001827e-06
-1.392098e+00 -1.709779e-04 1.193142e-06
-1.387847e+00 -1.725730e-04 1.385721e-06
-1.383596e+00 -1.741820e-04 1.579547e-06
-1.379345e+00 -1.758049e-04 1.774603e-06
-1.375094e+00 -1.774418e-04 1.970871e-06
-1.370843e+00 -1.790928e-04 2.168333e-06
-1.366592e+00 -1.807580e-04 2.366968e-06
-1.362341e+00 -1.824376e-04 2.566756e-06
-1.358090e+00 -1.841317e-04 2.767679e-06
-1.353838e+00 -1.858404e-04 2.969713e-06
-1.349587e+00 -1.875638e-04 3.172837e-06
-1.345336e+00 -1.893021e-04 3.377029e-06
-1.341085e+00 -1.910553e-04 3.582265e-06
-1.336834e+00 -1.928237e-04 3.788521e-06
-1.332583e+00 -1.946072e-04 3.995772e-06
-1.328332e+00 -1.964061e-04 4.203994e-06
-1.324081e+00 -1.982205e-04 4.413160e-06
-1.319830e+00 -2.000505e-04 4.623244e-06
-1.315579e+00 -2.018962e-04 4.834216e-06
-1.311328e+00 -2.037578e-04 5.046050e-06
-1.307077e+00 -2.056354e-04 5.258716e-06
-1.302826e+00 -2.075291e-04 5.472183e-06
-1.298575e+00 -2.094390e-04 5.686422e-06
-1.294324e+00 -2.113654e-04 5.901400e-06
-1.290073e+00 -2.133083e-04 6.117086e-06
-1.285821e+00 -2.152678e-04 6.333445e-06
-1.281570e+00 -2.172442e-04 6.550444e-06
-1.277319e+00 -2.192375e-04 6.768048e-06
-1.273068e+00 -2.212479e-04 6.986220e-06
-1.268817e+00 -2.232755e-04 7.204925e-06
-1.264566e+00 -2.253204e-04 7.424123e-06
-1.260315e+00 -2.273829e-04 7.643778e-06
-1.256064e+00 -2.294630e-04 7.863848e-06
-1.251813e+00 -2.315610e-04 8.084294e-06
-1.247562e+00 -2.336768e-04 8.305074e-06
-1.243311e+00 -2.358108e-04 8.526145e-06
-1.239060e+00 -2.379630e-04 8.747464e-06
-1.234809e+00 -2.401335e-04 8.968987e-06
-1.230558e+00 -2.423226e-04 9.190668e-06
-1.226307e+00 -2.445304e-04 9.412460e-06
-1.222056e+00 -2.467571e-04 9.634316e-06
-1.217804e+00 -2.490027e-04 9.856186e-06
-1.213553e+00 -2.512675e-04 1.007802e-05
-1.209302e+00 -2.535516e-04 1.029977e-05
-1.205051e+00 -2.558551e-04 1.052138e-05
-1.200800e+00 -2.581783e-04 1.074280e-05
-1.196549e+00 -2.605213e-04 1.096398e-05
-1.192298e+00 -2.628842e-04 1.118485e-05
-1.188047e+00 -2.652672e-04 1.140537e-05
-1.183796e+00 -2.676704e-04 1.162547e-05
-1.179545e+00 -2.700941e-04 1.184510e-05
-1.175294e+00 -2.725384e-04 1.206419e-05
-1.171043e+00 -2.750035e-04 1.228268e-05
-1.166792e+00 -2.774894e-04 1.250051e-05
-1.162541e+00 -2.799965e-04 1.271762e-05
-1.158290e+00 -2.825249e-04 1.293394e-05
-1.154039e+00 -2.850746e-04 1.314940e-05
