x real_part imag_part
-2.000000e+00 -9.935378e-06 2.444348e-05
-1.995749e+00 -1.003745e-05 2.481287e-05
-1.991498e+00 -1.014069e-05 2.518734e-05
-1.987247e+00 -1.024509e-05 2.556696e-05
-1.982996e+00 -1.035069e-05 2.595178e-05
-1.978745e+00 -1.045750e-05 2.634188e-05
-1.974494e+00 -1.056554e-05 2.673732e-05
-1.970243e+00 -1.067483e-05 2.713817e-05
-1.965991e+00 -1.078539e-05 2.754450e-05
-1.961740e+00 -1.089724e-05 2.795637e-05
-1.957489e+00 -1.101041e-05 2.837386e-05
-1.953238e+00 -1.112491e-05 2.879703e-05
-1.948987e+00 -1.124077e-05 2.922596e-05
-1.944736e+00 -1.135800e-05 2.966072e-05
-1.940485e+00 -1.147664e-05 3.010138e-05
-1.936234e+00 -1.159670e-05 3.054801e-05
-1.931983e+00 -1.171821e-05 3.100069e-05
-1.927732e+00 -1.184119e-05 3.145950e-05
-1.923481e+00 -1.196568e-05 3.192450e-05
-1.919230e+00 -1.209168e-05 3.239579e-05
-1.914979e+00 -1.221923e-05 3.287342e-05
-1.910728e+00 -1.234836e-05 3.335749e-05
-1.906477e+00 -1.247909e-05 3.384808e-05
-1.902226e+00 -1.261145e-05 3.434525e-05
-1.897974e+00 -1.274547e-05 3.484910e-05
-1.893723e+00 -1.288118e-05 3.535971e-05
-1.889472e+00 -1.301860e-05 3.587716e-05
-1.885221e+00 -1.315776e-05 3.640153e-05
-1.880970e+00 -1.329870e-05 3.693291e-05
-1.876719e+00 -1.344145e-05 3.747138e-05
-1.872468e+00 -1.358603e-05 3.801703e-05
-1.868217e+00 -1.373248e-05 3.856996e-05
-1.863966e+00 -1.388084e-05 3.913024e-05
-1.859715e+00 -1.403113e-05 3.969797e-05
-1.855464e+00 -1.418339e-05 4.027324e-05
-1.851213e+00 -1.433766e-05 4.085614e-05
-1.846962e+00 -1.449397e-05 4.144676e-05
-1.842711e+00 -1.465236e-05 4.204520e-05
-1.838460e+00 -1.481285e-05 4.265155e-05
-1.834209e+00 -1.497551e-05 4.326591e-05
-1.829957e+00 -1.514035e-05 4.388837e-05
-1.825706e+00 -1.530742e-05 4.451903e-05
-1.821455e+00 -1.547676e-05 4.515799e-05
-1.817204e+00 -1.564841e-05 4.580536e-05
-1.812953e+00 -1.582241e-05 4.646122e-05
-1.808702e+00 -1.599881e-05 4.712569e-05
-1.804451e+00 -1.617765e-05 4.779887e-05
-1.800200e+00 -1.635897e-05 4.848085e-05
-1.795949e+00 -1.654281e-05 4.917176e-05
-1.791698e+00 -1.672923e-05 4.987169e-05
-1.787447e+00 -1.691827e-05 5.058074e-05
-1.783196e+00 -1.710997e-05 5.129904e-05
-1.778945e+00 -1.730439e-05 5.202669e-05
-1.774694e+00 -1.750158e-05 5.276379e-05
-1.770443e+00 -1.770159e-05 5.351047e-05
-1.766192e+00 -1.790446e-05 5.426684e-05
-1.761940e+00 -1.811025e-05 5.503300e-05
-1.757689e+00 -1.831902e-05 5.580909e-05
-1.753438e+00 -1.853082e-05 5.659520e-05
-1.749187e+00 -1.874570e-05 5.739147e-05
-1.744936e+00 -1.896373e-05 5.819800e-05
-1.740685e+00 -1.918496e-05 5.901493e-05
-1.736434e+00 -1.940944e-05 5.984237e-05
-1.732183e+00 -1.963725e-05 6.068045e-05
-1.727932e+00 -1.986843e-05 6.152929e-05
-1.723681e+00 -2.010306e-05 6.238901e-05
-1.719430e+00 -2.034120e-05 6.325975e-05
-1.715179e+00 -2.058291e-05 6.414163e-05
-1.710928e+00 -2.082826e-05 6.503477e-05
-1.706677e+00 -2.107732e-05 6.593932e-05
-1.702426e+00 -2.133015e-05 6.685540e-05
-1.698175e+00 -2.158683e-05 6.778315e-05
-1.693923e+00 -2.184743e-05 6.872270e-05
-1.689672e+00 -2.211201e-05 6.967418e-05
-1.685421e+00 -2.238067e-05 7.063774e-05
-1.681170e+00 -2.265346e-05 7.161351e-05
-1.676919e+00 -2.293047e-05 7.260163e-05
-1.672668e+00 -2.321177e-05 7.360225e-05
-1.668417e+00 -2.349746e-05 7.461550e-05
-1.664166e+00 -2.378760e-05 7.564154e-05
-1.659915e+00 -2.408228e-05 7.668050e-05
-1.655664e+00 -2.438159e-05 7.773253e-05
-1.651413e+00 -2.468561e-05 7.879778e-05
-1.647162e+00 -2.499444e-05 7.987641e-05
-1.642911e+00 -2.530815e-05 8.096855e-05
-1.638660e+00 -2.562684e-05 8.207437e-05
-1.634409e+00 -2.595062e-05 8.319402e-05
-1.630158e+00 -2.627956e-05 8.432766e-05
-1.625906e+00 -2.661376e-05 8.547543e-05
-1.621655e+00 -2.695333e-05 8.663750e-05
-1.617404e+00 -2.729837e-05 8.781403e-05
-1.613153e+00 -2.764898e-05 8.900518e-05
-1.608902e+00 -2.800525e-05 9.021111e-05
-1.604651e+00 -2.836730e-05 9.143199e-05
-1.600400e+00 -2.873524e-05 9.266799e-05
-1.596149e+00 -2.910917e-05 9.391926e-05
-1.591898e+00 -2.948921e-05 9.518598e-05
-1.587647e+00 -2.987547e-05 9.646832e-05
-1.583396e+00 -3.026806e-05 9.776644e-05
-1.579145e+00 -3.066711e-05 9.908054e-05
-1.574894e+00 -3.107274e-05 1.004108e-04
-1.570643e+00 -3.148506e-05 1.017573e-04
-1.566392e+00 -3.190420e-05 1.031203e-04
-1.562141e+00 -3.233030e-05 1.045001e-04
-1.557889e+00 -3.276347e-05 1.058966e-04
-1.553638e+00 -3.320385e-05 1.073102e-04
-1.549387e+00 -3.365157e-05 1.087410e-04
