x prob_density
-2.000000e+00 2.091604e-09
-1.995749e+00 2.180127e-09
-1.991498e+00 2.272296e-09
-1.987247e+00 2.368257e-09
-1.982996e+00 2.468162e-09
-1.978745e+00 2.572168e-09
-1.974494e+00 2.680439e-09
-1.970243e+00 2.793144e-09
-1.965991e+00 2.910460e-09
-1.961740e+00 3.032569e-09
-1.957489e+00 3.159662e-09
-1.953238e+00 3.291937e-09
-1.948987e+00 3.429598e-09
-1.944736e+00 3.572858e-09
-1.940485e+00 3.721939e-09
-1.936234e+00 3.877068e-09
-1.931983e+00 4.038486e-09
-1.927732e+00 4.206439e-09
-1.923481e+00 4.381183e-09
-1.919230e+00 4.562986e-09
-1.914979e+00 4.752123e-09
-1.910728e+00 4.948882e-09
-1.906477e+00 5.153561e-09
-1.902226e+00 5.366468e-09
-1.897974e+00 5.587924e-09
-1.893723e+00 5.818263e-09
-1.889472e+00 6.057830e-09
-1.885221e+00 6.306982e-09
-1.880970e+00 6.566093e-09
-1.876719e+00 6.835548e-09
-1.872468e+00 7.115746e-09
-1.868217e+00 7.407104e-09
-1.863966e+00 7.710052e-09
-1.859715e+00 8.025036e-09
-1.855464e+00 8.352521e-09
-1.851213e+00 8.692986e-09
-1.846962e+00 9.046931e-09
-1.842711e+00 9.414872e-09
-1.838460e+00 9.797345e-09
-1.834209e+00 1.019491e-08
-1.829957e+00 1.060813e-08
-1.825706e+00 1.103762e-08
-1.821455e+00 1.148399e-08
-1.817204e+00 1.194789e-08
-1.812953e+00 1.242998e-08
-1.808702e+00 1.293095e-08
-1.804451e+00 1.345152e-08
-1.800200e+00 1.399242e-08
-1.795949e+00 1.455444e-08
-1.791698e+00 1.513837e-08
-1.787447e+00 1.574502e-08
-1.783196e+00 1.637527e-08
-1.778945e+00 1.702999e-08
-1.774694e+00 1.771011e-08
-1.770443e+00 1.841658e-08
-1.766192e+00 1.915039e-08
-1.761940e+00 1.991256e-08
-1.757689e+00 2.070415e-08
-1.753438e+00 2.152625e-08
-1.749187e+00 2.238002e-08
-1.744936e+00 2.326662e-08
-1.740685e+00 2.418728e-08
-1.736434e+00 2.514326e-08
-1.732183e+00 2.613588e-08
-1.727932e+00 2.716648e-08
-1.723681e+00 2.823648e-08
-1.719430e+00 2.934733e-08
-1.715179e+00 3.050053e-08
-1.710928e+00 3.169765e-08
-1.706677e+00 3.294031e-08
-1.702426e+00 3.423018e-08
-1.698175e+00 3.556898e-08
-1.693923e+00 3.695852e-08
-1.689672e+00 3.840065e-08
-1.685421e+00 3.989730e-08
-1.681170e+00 4.145045e-08
-1.676919e+00 4.306216e-08
-1.672668e+00 4.473457e-08
-1.668417e+00 4.646988e-08
-1.664166e+00 4.827038e-08
-1.659915e+00 5.013843e-08
-1.655664e+00 5.207648e-08
-1.651413e+00 5.408705e-08
-1.647162e+00 5.617278e-08
-1.642911e+00 5.833637e-08
-1.638660e+00 6.058061e-08
-1.634409e+00 6.290843e-08
-1.630158e+00 6.532281e-08
-1.625906e+00 6.782686e-08
-1.621655e+00 7.042380e-08
-1.617404e+00 7.311695e-08
-1.613153e+00 7.590974e-08
-1.608902e+00 7.880574e-08
-1.604651e+00 8.180861e-08
-1.600400e+00 8.492216e-08
-1.596149e+00 8.815032e-08
-1.591898e+00 9.149717e-08
-1.587647e+00 9.496690e-08
-1.583396e+00 9.856386e-08
