x real_part imag_part
-2.000000e+00 -3.732570e-05 -5.533804e-05
-1.995749e+00 -3.777309e-05 -5.564713e-05
-1.991498e+00 -3.822409e-05 -5.595745e-05
-1.987247e+00 -3.867872e-05 -5.626900e-05
-1.982996e+00 -3.913701e-05 -5.658180e-05
-1.978745e+00 -3.959897e-05 -5.689585e-05
-1.974494e+00 -4.006464e-05 -5.721115e-05
-1.970243e+00 -4.053403e-05 -5.752772e-05
-1.965991e+00 -4.100717e-05 -5.784555e-05
-1.961740e+00 -4.148407e-05 -5.816466e-05
-1.957489e+00 -4.196476e-05 -5.848504e-05
-1.953238e+00 -4.244926e-05 -5.880672e-05
-1.948987e+00 -4.293760e-05 -5.912969e-05
-1.944736e+00 -4.342980e-05 -5.945396e-05
-1.940485e+00 -4.392587e-05 -5.977954e-05
-1.936234e+00 -4.442585e-05 -6.010644e-05
-1.931983e+00 -4.492976e-05 -6.043466e-05
-1.927732e+00 -4.543762e-05 -6.076420e-05
-1.923481e+00 -4.594945e-05 -6.109509e-05
-1.919230e+00 -4.646528e-05 -6.142732e-05
-1.914979e+00 -4.698513e-05 -6.176090e-05
-1.910728e+00 -4.750902e-05 -6.209584e-05
-1.906477e+00 -4.803699e-05 -6.243215e-05
-1.902226e+00 -4.856904e-05 -6.276983e-05
-1.897974e+00 -4.910521e-05 -6.310890e-05
-1.893723e+00 -4.964553e-05 -6.344936e-05
-1.889472e+00 -5.019000e-05 -6.379122e-05
-1.885221e+00 -5.073867e-05 -6.413448e-05
-1.880970e+00 -5.129155e-05 -6.447916e-05
-1.876719e+00 -5.184867e-05 -6.482527e-05
-1.872468e+00 -5.241006e-05 -6.517281e-05
-1.868217e+00 -5.297573e-05 -6.552179e-05
-1.863966e+00 -5.354572e-05 -6.587222e-05
-1.859715e+00 -5.412005e-05 -6.622411e-05
-1.855464e+00 -5.469874e-05 -6.657747e-05
-1.851213e+00 -5.528183e-05 -6.693231e-05
-1.846962e+00 -5.586932e-05 -6.728864e-05
-1.842711e+00 -5.646126e-05 -6.764646e-05
-1.838460e+00 -5.705767e-05 -6.800579e-05
-1.834209e+00 -5.765857e-05 -6.836664e-05
-1.829957e+00 -5.826399e-05 -6.872901e-05
-1.825706e+00 -5.887396e-05 -6.909292e-05
-1.821455e+00 -5.948849e-05 -6.945837e-05
-1.817204e+00 -6.010763e-05 -6.982538e-05
-1.812953e+00 -6.073139e-05 -7.019396e-05
-1.808702e+00 -6.135981e-05 -7.056412e-05
-1.804451e+00 -6.199290e-05 -7.093586e-05
-1.800200e+00 -6.263070e-05 -7.130920e-05
-1.795949e+00 -6.327323e-05 -7.168415e-05
-1.791698e+00 -6.392052e-05 -7.206073e-05
-1.787447e+00 -6.457260e-05 -7.243893e-05
-1.783196e+00 -6.522950e-05 -7.281878e-05
-1.778945e+00 -6.589124e-05 -7.320028e-05
-1.774694e+00 -6.655785e-05 -7.358345e-05
-1.770443e+00 -6.722936e-05 -7.396830e-05
-1.766192e+00 -6.790579e-05 -7.435484e-05
-1.761940e+00 -6.858719e-05 -7.474309e-05
-1.757689e+00 -6.927356e-05 -7.513304e-05
-1.753438e+00 -6.996495e-05 -7.552473e-05
-1.749187e+00 -7.066138e-05 -7.591816e-05
-1.744936e+00 -7.136288e-05 -7.631334e-05
-1.740685e+00 -7.206948e-05 -7.671028e-05
-1.736434e+00 -7.278120e-05 -7.710900e-05
-1.732183e+00 -7.349809e-05 -7.750952e-05
-1.727932e+00 -7.422016e-05 -7.791184e-05
-1.723681e+00 -7.494744e-05 -7.831599e-05
-1.719430e+00 -7.567997e-05 -7.872196e-05
-1.715179e+00 -7.641778e-05 -7.912979e-05
-1.710928e+00 -7.716089e-05 -7.953947e-05
-1.706677e+00 -7.790934e-05 -7.995104e-05
-1.702426e+00 -7.866315e-05 -8.036449e-05
-1.698175e+00 -7.942236e-05 -8.077985e-05
-1.693923e+00 -8.018700e-05 -8.119713e-05
-1.689672e+00 -8.095709e-05 -8.161634e-05
-1.685421e+00 -8.173268e-05 -8.203751e-05
-1.681170e+00 -8.251378e-05 -8.246064e-05
-1.676919e+00 -8.330043e-05 -8.288575e-05
-1.672668e+00 -8.409266e-05 -8.331286e-05
-1.668417e+00 -8.489051e-05 -8.374199e-05
-1.664166e+00 -8.569400e-05 -8.417315e-05
-1.659915e+00 -8.650317e-05 -8.460635e-05
-1.655664e+00 -8.731804e-05 -8.504162e-05
-1.651413e+00 -8.813866e-05 -8.547897e-05
-1.647162e+00 -8.896505e-05 -8.591842e-05
-1.642911e+00 -8.979724e-05 -8.635998e-05
-1.638660e+00 -9.063527e-05 -8.680368e-05
-1.634409e+00 -9.147917e-05 -8.724953e-05
-1.630158e+00 -9.232897e-05 -8.769754e-05
-1.625906e+00 -9.318471e-05 -8.814775e-05
-1.621655e+00 -9.404641e-05 -8.860015e-05
-1.617404e+00 -9.491412e-05 -8.905479e-05
-1.613153e+00 -9.578786e-05 -8.951167e-05
-1.608902e+00 -9.666767e-05 -8.997081e-05
-1.604651e+00 -9.755359e-05 -9.043223e-05
-1.600400e+00 -9.844564e-05 -9.089595e-05
-1.596149e+00 -9.934386e-05 -9.136200e-05
-1.591898e+00 -1.002483e-04 -9.183039e-05
-1.587647e+00 -1.011589e-04 -9.230114e-05
-1.583396e+00 -1.020759e-04 -9.277427e-05
-1.579145e+00 -1.029991e-04 -9.324981e-05
-1.574894e+00 -1.039287e-04 -9.372777e-05
-1.570643e+00 -1.048647e-04 -9.420818e-05
-1.566392e+00 -1.058071e-04 -9.469106e-05
-1.562141e+00 -1.067559e-04 -9.517642e-05
-1.557889e+00 -1.077112e-04 -9.566431e-05
-1.553638e+00 -1.086730e-04 -9.615472e-05
-1.549387e+00 -1.096414e-04 -9.664769e-05
-1.545136e+00 -1.106164e-04 -9.714325e-05
-1.540885e+00 -1.115980e-04 -9.764141e-05
-1.536634e+00 -1.125862e-04 -9.814220e-05
-1.532383e+00 -1.135812e-04 -9.864563e-05
-1.528132e+00 -1.145829e-04 -9.915175e-05
-1.523881e+00 -1.155914e-04 -9.966057e-05
-1.519630e+00 -1.166066e-04 -1.001721e-04
-1.515379e+00 -1.176288e-04 -1.006864e-04
-1.511128e+00 -1.186578e-04 -1.012035e-04
-1.506877e+00 -1.196937e-04 -1.017233e-04
-1.502626e+00 -1.207366e-04 -1.022460e-04
-1.498375e+00 -1.217865e-04 -1.027716e-04
-1.494124e+00 -1.228434e-04 -1.033000e-04
-1.489872e+00 -1.239074e-04 -1.038314e-04
-1.485621e+00 -1.249785e-04 -1.043656e-04
-1.481370e+00 -1.260568e-04 -1.049029e-04
-1.477119e+00 -1.271422e-04 -1.054431e-04
-1.472868e+00 -1.282349e-04 -1.059863e-04
-1.468617e+00 -1.293348e-04 -1.065326e-04
-1.464366e+00 -1.304420e-04 -1.070820e-04
-1.460115e+00 -1.315566e-04 -1.076345e-04
-1.455864e+00 -1.326785e-04 -1.081901e-04
-1.451613e+00 -1.338079e-04 -1.087488e-04
-1.447362e+00 -1.349448e-04 -1.093108e-04
-1.443111e+00 -1.360891e-04 -1.098760e-04
-1.438860e+00 -1.372410e-04 -1.104444e-04
-1.434609e+00 -1.384004e-04 -1.110162e-04
-1.430358e+00 -1.395675e-04 -1.115912e-04
-1.426107e+00 -1.407423e-04 -1.121696e-04
-1.421855e+00 -1.419247e-04 -1.127514e-04
-1.417604e+00 -1.431149e-04 -1.133366e-04
-1.413353e+00 -1.443129e-04 -1.139253e-04
-1.409102e+00 -1.455187e-04 -1.145174e-04
-1.404851e+00 -1.467323e-04 -1.151131e-04
-1.400600e+00 -1.479539e-04 -1.157123e-04
-1.396349e+00 -1.491834e-04 -1.163151e-04
-1.392098e+00 -1.504209e-04 -1.169215e-04
-1.387847e+00 -1.516665e-04 -1.175316e-04
-1.383596e+00 -1.529201e-04 -1.181454e-04
-1.379345e+00 -1.541818e-04 -1.187629e-04
-1.375094e+00 -1.554517e-04 -1.193841e-04
-1.370843e+00 -1.567298e-04 -1.200092e-04
-1.366592e+00 -1.580161e-04 -1.206381e-04
-1.362341e+00 -1.593108e-04 -1.212709e-04
-1.358090e+00 -1.606137e-04 -1.219076e-04
-1.353838e+00 -1.619251e-04 -1.225483e-04
-1.349587e+00 -1.632448e-04 -1.231929e-04
-1.345336e+00 -1.645730e-04 -1.238416e-04
-1.341085e+00 -1.659097e-04 -1.244944e-04
-1.336834e+00 -1.672550e-04 -1.251513e-04
-1.332583e+00 -1.686088e-04 -1.258123e-04
-1.328332e+00 -1.699713e-04 -1.264776e-04
-1.324081e+00 -1.713425e-04 -1.271470e-04
-1.319830e+00 -1.727224e-04 -1.278208e-04
-1.315579e+00 -1.741111e-04 -1.284989e-04
-1.311328e+00 -1.755085e-04 -1.291814e-04
-1.307077e+00 -1.769149e-04 -1.298683e-04
-1.302826e+00 -1.783301e-04 -1.305596e-04
-1.298575e+00 -1.797543e-04 -1.312554e-04
-1.294324e+00 -1.811875e-04 -1.319558e-04
-1.290073e+00 -1.826297e-04 -1.326608e-04
-1.285821e+00 -1.840810e-04 -1.333704e-04
-1.281570e+00 -1.855415e-04 -1.340848e-04
-1.277319e+00 -1.870111e-04 -1.348038e-04
-1.273068e+00 -1.884899e-04 -1.355276e-04
-1.268817e+00 -1.899780e-04 -1.362563e-04
-1.264566e+00 -1.914754e-04 -1.369899e-04
-1.260315e+00 -1.929822e-04 -1.377283e-04
-1.256064e+00 -1.944984e-04 -1.384718e-04
-1.251813e+00 -1.960241e-04 -1.392203e-04
-1.247562e+00 -1.975592e-04 -1.399739e-04
-1.243311e+00 -1.991039e-04 -1.407326e-04
-1.239060e+00 -2.006582e-04 -1.414964e-04
-1.234809e+00 -2.022222e-04 -1.422656e-04
-1.230558e+00 -2.037958e-04 -1.430400e-04
-1.226307e+00 -2.053792e-04 -1.438198e-04
-1.222056e+00 -2.069724e-04 -1.446049e-04
-1.217804e+00 -2.085754e-04 -1.453956e-04
-1.213553e+00 -2.101882e-04 -1.461917e-04
-1.209302e+00 -2.118110e-04 -1.469934e-04
-1.205051e+00 -2.134438e-04 -1.478007e-04
-1.200800e+00 -2.150867e-04 -1.486137e-04
-1.196549e+00 -2.167395e-04 -1.494325e-04
-1.192298e+00 -2.184026e-04 -1.502570e-04
-1.188047e+00 -2.200758e-04 -1.510874e-04
-1.183796e+00 -2.217592e-04 -1.519238e-04
-1.179545e+00 -2.234529e-04 -1.527661e-04
-1.175294e+00 -2.251569e-04 -1.536144e-04
-1.171043e+00 -2.268712e-04 -1.544689e-04
-1.166792e+00 -2.285960e-04 -1.553295e-04
-1.162541e+00 -2.303313e-04 -1.561963e-04
-1.158290e+00 -2.320771e-04 -1.570694e-04
-1.154039e+00 -2.338334e-04 -1.579489e-04
-1.149787e+00 -2.356004e-04 -1.588348e-04
-1.145536e+00 -2.373780e-04 -1.597272e-04
-1.141285e+00 -2.391664e-04 -1.606261e-04
-1.137034e+00 -2.409655e-04 -1.615317e-04
-1.132783e+00 -2.427754e-04 -1.624440e-04
-1.128532e+00 -2.445963e-04 -1.633630e-04
-1.124281e+00 -2.464280e-04 -1.642888e-04
-1.120030e+00 -2.482707e-04 -1.652215e-04
-1.115779e+00 -2.501244e-04 -1.661612e-04
-1.111528e+00 -2.519892e-04 -1.671079e-04
-1.107277e+00 -2.538651e-04 -1.680618e-04
-1.103026e+00 -2.557521e-04 -1.690228e-04
-1.098775e+00 -2.576504e-04 -1.699911e-04
-1.094524e+00 -2.595600e-04 -1.709667e-04
-1.090273e+00 -2.614809e-04 -1.719497e-04
-1.086022e+00 -2.634132e-04 -1.729402e-04
-1.081770e+00 -2.653568e-04 -1.739383e-04
-1.077519e+00 -2.673120e-04 -1.749440e-04
-1.073268e+00 -2.692787e-04 -1.759574e-04
-1.069017e+00 -2.712570e-04 -1.769786e-04
-1.064766e+00 -2.732469e-04 -1.780076e-04
-1.060515e+00 -2.752485e-04 -1.790447e-04
-1.056264e+00 -2.772618e-04 -1.800897e-04
-1.052013e+00 -2.792869e-04 -1.811429e-04
-1.047762e+00 -2.813239e-04 -1.822043e-04
-1.043511e+00 -2.833727e-04 -1.832739e-04
-1.039260e+00 -2.854335e-04 -1.843520e-04
-1.035009e+00 -2.875063e-04 -1.854384e-04
-1.030758e+00 -2.895911e-04 -1.865335e-04
-1.026507e+00 -2.916880e-04 -1.876371e-04
-1.022256e+00 -2.937971e-04 -1.887495e-04
-1.018005e+00 -2.959183e-04 -1.898706e-04
-1.013753e+00 -2.980518e-04 -1.910007e-04
-1.009502e+00 -3.001977e-04 -1.921397e-04
-1.005251e+00 -3.023558e-04 -1.932878e-04
-1.001000e+00 -3.045264e-04 -1.944451e-04
-9.967492e-01 -3.067094e-04 -1.956117e-04
-9.924981e-01 -3.089050e-04 -1.967876e-04
-9.882471e-01 -3.111131e-04 -1.979729e-04
-9.839960e-01 -3.133338e-04 -1.991678e-04
-9.797449e-01 -3.155672e-04 -2.003724e-04
-9.754939e-01 -3.178133e-04 -2.015866e-04
-9.712428e-01 -3.200722e-04 -2.028108e-04
-9.669917e-01 -3.223439e-04 -2.040448e-04
-9.627407e-01 -3.246285e-04 -2.052889e-04
-9.584896e-01 -3.269260e-04 -2.065432e-04
-9.542386e-01 -3.292364e-04 -2.078077e-04
-9.499875e-01 -3.315599e-04 -2.090825e-04
-9.457364e-01 -3.338965e-04 -2.103678e-04
-9.414854e-01 -3.362462e-04 -2.116637e-04
-9.372343e-01 -3.386091e-04 -2.129702e-04
-9.329832e-01 -3.409853e-04 -2.142875e-04
-9.287322e-01 -3.433747e-04 -2.156157e-04
-9.244811e-01 -3.457774e-04 -2.169548e-04
-9.202301e-01 -3.481935e-04 -2.183051e-04
-9.159790e-01 -3.506231e-04 -2.196666e-04
-9.117279e-01 -3.530662e-04 -2.210394e-04
-9.074769e-01 -3.555228e-04 -2.224237e-04
-9.032258e-01 -3.579930e-04 -2.238195e-04
-8.989747e-01 -3.604768e-04 -2.252270e-04
-8.947237e-01 -3.629743e-04 -2.266462e-04
-8.904726e-01 -3.654856e-04 -2.280774e-04
-8.862216e-01 -3.680107e-04 -2.295206e-04
-8.819705e-01 -3.705496e-04 -2.309760e-04
-8.777194e-01 -3.731023e-04 -2.324436e-04
-8.734684e-01 -3.756691e-04 -2.339236e-04
-8.692173e-01 -3.782498e-04 -2.354161e-04
-8.649662e-01 -3.808446e-04 -2.369213e-04
-8.607152e-01 -3.834534e-04 -2.384392e-04
-8.564641e-01 -3.860764e-04 -2.399701e-04
-8.522131e-01 -3.887136e-04 -2.415139e-04
-8.479620e-01 -3.913650e-04 -2.430709e-04
-8.437109e-01 -3.940307e-04 -2.446412e-04
-8.394599e-01 -3.967108e-04 -2.462249e-04
-8.352088e-01 -3.994052e-04 -2.478221e-04
-8.309577e-01 -4.021141e-04 -2.494330e-04
-8.267067e-01 -4.048374e-04 -2.510577e-04
-8.224556e-01 -4.075753e-04 -2.526964e-04
-8.182046e-01 -4.103277e-04 -2.543492e-04
