x prob_density
-1.205051e+00 6.740333e-08
-1.200800e+00 6.834831e-08
-1.196549e+00 6.930610e-08
-1.192298e+00 7.027686e-08
-1.188047e+00 7.126075e-08
-1.183796e+00 7.225796e-08
-1.179545e+00 7.326865e-08
-1.175294e+00 7.429300e-08
-1.171043e+00 7.533119e-08
-1.166792e+00 7.638339e-08
-1.162541e+00 7.744979e-08
-1.158290e+00 7.853058e-08
-1.154039e+00 7.962594e-08
-1.149787e+00 8.073605e-08
-1.145536e+00 8.186111e-08
-1.141285e+00 8.300132e-08
-1.137034e+00 8.415687e-08
-1.132783e+00 8.532796e-08
-1.128532e+00 8.651479e-08
-1.124281e+00 8.771756e-08
-1.120030e+00 8.893648e-08
-1.115779e+00 9.017175e-08
-1.111528e+00 9.142360e-08
-1.107277e+00 9.269223e-08
-1.103026e+00 9.397786e-08
-1.098775e+00 9.528071e-08
-1.094524e+00 9.660100e-08
-1.090273e+00 9.793896e-08
-1.086022e+00 9.929481e-08
-1.081770e+00 1.006688e-07
-1.077519e+00 1.020611e-07
-1.073268e+00 1.034720e-07
-1.069017e+00 1.049018e-07
-1.064766e+00 1.063506e-07
-1.060515e+00 1.078187e-07
-1.056264e+00 1.093064e-07
-1.052013e+00 1.108139e-07
-1.047762e+00 1.123415e-07
-1.043511e+00 1.138894e-07
-1.039260e+00 1.154579e-07
-1.035009e+00 1.170473e-07
-1.030758e+00 1.186577e-07
-1.026507e+00 1.202896e-07
-1.022256e+00 1.219431e-07
-1.018005e+00 1.236185e-07
-1.013753e+00 1.253162e-07
-1.009502e+00 1.270363e-07
-1.005251e+00 1.287792e-07
-1.001000e+00 1.305452e-07
-9.967492e-01 1.323346e-07
-9.924981e-01 1.341476e-07
-9.882471e-01 1.359846e-07
-9.839960e-01 1.378459e-07
-9.797449e-01 1.397318e-07
-9.754939e-01 1.416425e-07
-9.712428e-01 1.435784e-07
-9.669917e-01 1.455399e-07
-9.627407e-01 1.475272e-07
-9.584896e-01 1.495407e-07
-9.542386e-01 1.515807e-07
-9.499875e-01 1.536475e-07
-9.457364e-01 1.557415e-07
-9.414854e-01 1.578630e-07
-9.372343e-01 1.600124e-07
-9.329832e-01 1.621901e-07
-9.287322e-01 1.643963e-07
-9.244811e-01 1.666314e-07
-9.202301e-01 1.688959e-07
-9.159790e-01 1.711900e-07
-9.117279e-01 1.735141e-07
-9.074769e-01 1.758687e-07
-9.032258e-01 1.782541e-07
-8.989747e-01 1.806707e-07
-8.947237e-01 1.831189e-07
-8.904726e-01 1.855990e-07
-8.862216e-01 1.881116e-07
-8.819705e-01 1.906569e-07
-8.777194e-01 1.932354e-07
-8.734684e-01 1.958475e-07
-8.692173e-01 1.984937e-07
-8.649662e-01 2.011743e-07
-8.607152e-01 2.038898e-07
-8.564641e-01 2.066406e-07
-8.522131e-01 2.094272e-07
-8.479620e-01 2.122501e-07
-8.437109e-01 2.151095e-07
-8.394599e-01 2.180061e-07
-8.352088e-01 2.209403e-07
-8.309577e-01 2.239126e-07
-8.267067e-01 2.269233e-07
