x prob_density
-2.000000e+00 8.496815e-09
-1.995749e+00 8.599398e-09
-1.991498e+00 8.703183e-09
-1.987247e+00 8.808183e-09
-1.982996e+00 8.914412e-09
-1.978745e+00 9.021884e-09
-1.974494e+00 9.130613e-09
-1.970243e+00 9.240613e-09
-1.965991e+00 9.351898e-09
-1.961740e+00 9.464483e-09
-1.957489e+00 9.578383e-09
-1.953238e+00 9.693612e-09
-1.948987e+00 9.810186e-09
-1.944736e+00 9.928119e-09
-1.940485e+00 1.004743e-08
-1.936234e+00 1.016813e-08
-1.931983e+00 1.029023e-08
-1.927732e+00 1.041376e-08
-1.923481e+00 1.053872e-08
-1.919230e+00 1.066514e-08
-1.914979e+00 1.079303e-08
-1.910728e+00 1.092241e-08
-1.906477e+00 1.105329e-08
-1.902226e+00 1.118569e-08
-1.897974e+00 1.131963e-08
-1.893723e+00 1.145513e-08
-1.889472e+00 1.159220e-08
-1.885221e+00 1.173085e-08
-1.880970e+00 1.187112e-08
-1.876719e+00 1.201301e-08
-1.872468e+00 1.215655e-08
-1.868217e+00 1.230175e-08
-1.863966e+00 1.244863e-08
-1.859715e+00 1.259721e-08
-1.855464e+00 1.274751e-08
-1.851213e+00 1.289954e-08
-1.846962e+00 1.305334e-08
-1.842711e+00 1.320891e-08
-1.838460e+00 1.336628e-08
-1.834209e+00 1.352547e-08
-1.829957e+00 1.368650e-08
-1.825706e+00 1.384938e-08
-1.821455e+00 1.401414e-08
-1.817204e+00 1.418080e-08
-1.812953e+00 1.434939e-08
-1.808702e+00 1.451991e-08
-1.804451e+00 1.469240e-08
-1.800200e+00 1.486688e-08
-1.795949e+00 1.504336e-08
-1.791698e+00 1.522188e-08
-1.787447e+00 1.540244e-08
-1.783196e+00 1.558509e-08
-1.778945e+00 1.576983e-08
-1.774694e+00 1.595669e-08
-1.770443e+00 1.614570e-08
-1.766192e+00 1.633688e-08
-1.761940e+00 1.653025e-08
-1.757689e+00 1.672584e-08
-1.753438e+00 1.692367e-08
-1.749187e+00 1.712377e-08
-1.744936e+00 1.732616e-08
-1.740685e+00 1.753087e-08
-1.736434e+00 1.773792e-08
-1.732183e+00 1.794734e-08
-1.727932e+00 1.815916e-08
-1.723681e+00 1.837340e-08
-1.719430e+00 1.859008e-08
-1.715179e+00 1.880924e-08
-1.710928e+00 1.903091e-08
-1.706677e+00 1.925510e-08
-1.702426e+00 1.948186e-08
-1.698175e+00 1.971120e-08
-1.693923e+00 1.994315e-08
-1.689672e+00 2.017775e-08
-1.685421e+00 2.041502e-08
-1.681170e+00 2.065500e-08
-1.676919e+00 2.089770e-08
-1.672668e+00 2.114317e-08
-1.668417e+00 2.139143e-08
-1.664166e+00 2.164251e-08
-1.659915e+00 2.189645e-08
-1.655664e+00 2.215327e-08
-1.651413e+00 2.241301e-08
-1.647162e+00 2.267570e-08
-1.642911e+00 2.294137e-08
-1.638660e+00 2.321006e-08
-1.634409e+00 2.348179e-08
-1.630158e+00 2.375660e-08
-1.625906e+00 2.403452e-08
-1.621655e+00 2.431559e-08
-1.617404e+00 2.459985e-08
-1.613153e+00 2.488732e-08
-1.608902e+00 2.517805e-08
-1.604651e+00 2.547206e-08
-1.600400e+00 2.576939e-08
-1.596149e+00 2.607009e-08
-1.591898e+00 2.637418e-08
-1.587647e+00 2.668171e-08
-1.583396e+00 2.699271e-08
-1.579145e+00 2.730721e-08
-1.574894e+00 2.762527e-08
-1.570643e+00 2.794690e-08
-1.566392e+00 2.827217e-08
-1.562141e+00 2.860110e-08
-1.557889e+00 2.893373e-08
-1.553638e+00 2.927010e-08
-1.549387e+00 2.961026e-08
-1.545136e+00 2.995425e-08
-1.540885e+00 3.030210e-08
-1.536634e+00 3.065386e-08
-1.532383e+00 3.100958e-08
-1.528132e+00 3.136928e-08
-1.523881e+00 3.173303e-08
-1.519630e+00 3.210086e-08
-1.515379e+00 3.247281e-08
-1.511128e+00 3.284893e-08
-1.506877e+00 3.322927e-08
-1.502626e+00 3.361387e-08
-1.498375e+00 3.400277e-08
-1.494124e+00 3.439603e-08
-1.489872e+00 3.479369e-08
-1.485621e+00 3.519580e-08
-1.481370e+00 3.560240e-08
-1.477119e+00 3.601355e-08
-1.472868e+00 3.642929e-08
-1.468617e+00 3.684967e-08
-1.464366e+00 3.727475e-08
-1.460115e+00 3.770456e-08
-1.455864e+00 3.813918e-08
-1.451613e+00 3.857864e-08
-1.447362e+00 3.902299e-08
-1.443111e+00 3.947230e-08
-1.438860e+00 3.992661e-08
-1.434609e+00 4.038597e-08
-1.430358e+00 4.085045e-08
-1.426107e+00 4.132010e-08
-1.421855e+00 4.179496e-08
-1.417604e+00 4.227510e-08
-1.413353e+00 4.276058e-08
-1.409102e+00 4.325145e-08
-1.404851e+00 4.374777e-08
-1.400600e+00 4.424959e-08
-1.396349e+00 4.475698e-08
-1.392098e+00 4.527000e-08
-1.387847e+00 4.578870e-08
-1.383596e+00 4.631315e-08
-1.379345e+00 4.684341e-08
