x real_part imag_part
-2.000000e+00 -1.919377e-05 -9.015772e-05
-1.995749e+00 -1.955832e-05 -9.064695e-05
-1.991498e+00 -1.992560e-05 -9.113810e-05
-1.987247e+00 -2.029561e-05 -9.163117e-05
-1.982996e+00 -2.066837e-05 -9.212617e-05
-1.978745e+00 -2.104390e-05 -9.262310e-05
-1.974494e+00 -2.142219e-05 -9.312198e-05
-1.970243e+00 -2.180328e-05 -9.362280e-05
-1.965991e+00 -2.218716e-05 -9.412559e-05
-1.961740e+00 -2.257385e-05 -9.463035e-05
-1.957489e+00 -2.296337e-05 -9.513709e-05
-1.953238e+00 -2.335571e-05 -9.564582e-05
-1.948987e+00 -2.375091e-05 -9.615654e-05
-1.944736e+00 -2.414896e-05 -9.666927e-05
-1.940485e+00 -2.454987e-05 -9.718401e-05
-1.936234e+00 -2.495367e-05 -9.770077e-05
-1.931983e+00 -2.536037e-05 -9.821957e-05
-1.927732e+00 -2.576997e-05 -9.874041e-05
-1.923481e+00 -2.618248e-05 -9.926330e-05
-1.919230e+00 -2.659793e-05 -9.978825e-05
-1.914979e+00 -2.701632e-05 -1.003153e-04
-1.910728e+00 -2.743766e-05 -1.008444e-04
-1.906477e+00 -2.786197e-05 -1.013756e-04
-1.902226e+00 -2.828926e-05 -1.019088e-04
-1.897974e+00 -2.871954e-05 -1.024442e-04
-1.893723e+00 -2.915282e-05 -1.029818e-04
-1.889472e+00 -2.958912e-05 -1.035214e-04
-1.885221e+00 -3.002844e-05 -1.040632e-04
-1.880970e+00 -3.047081e-05 -1.046071e-04
-1.876719e+00 -3.091622e-05 -1.051532e-04
-1.872468e+00 -3.136471e-05 -1.057015e-04
-1.868217e+00 -3.181627e-05 -1.062519e-04
-1.863966e+00 -3.227092e-05 -1.068046e-04
-1.859715e+00 -3.272867e-05 -1.073594e-04
-1.855464e+00 -3.318953e-05 -1.079165e-04
-1.851213e+00 -3.365353e-05 -1.084757e-04
-1.846962e+00 -3.412066e-05 -1.090372e-04
-1.842711e+00 -3.459095e-05 -1.096010e-04
-1.838460e+00 -3.506440e-05 -1.101670e-04
-1.834209e+00 -3.554103e-05 -1.107353e-04
-1.829957e+00 -3.602086e-05 -1.113059e-04
-1.825706e+00 -3.650388e-05 -1.118787e-04
-1.821455e+00 -3.699012e-05 -1.124539e-04
-1.817204e+00 -3.747959e-05 -1.130313e-04
-1.812953e+00 -3.797230e-05 -1.136111e-04
-1.808702e+00 -3.846826e-05 -1.141933e-04
-1.804451e+00 -3.896750e-05 -1.147778e-04
-1.800200e+00 -3.947001e-05 -1.153646e-04
-1.795949e+00 -3.997581e-05 -1.159539e-04
-1.791698e+00 -4.048492e-05 -1.165455e-04
-1.787447e+00 -4.099735e-05 -1.171395e-04
-1.783196e+00 -4.151311e-05 -1.177359e-04
-1.778945e+00 -4.203222e-05 -1.183348e-04
-1.774694e+00 -4.255468e-05 -1.189361e-04
-1.770443e+00 -4.308051e-05 -1.195398e-04
-1.766192e+00 -4.360973e-05 -1.201460e-04
-1.761940e+00 -4.414234e-05 -1.207547e-04
-1.757689e+00 -4.467836e-05 -1.213659e-04
-1.753438e+00 -4.521781e-05 -1.219796e-04
-1.749187e+00 -4.576069e-05 -1.225958e-04
-1.744936e+00 -4.630702e-05 -1.232145e-04
-1.740685e+00 -4.685681e-05 -1.238358e-04
-1.736434e+00 -4.741008e-05 -1.244597e-04
-1.732183e+00 -4.796683e-05 -1.250861e-04
-1.727932e+00 -4.852709e-05 -1.257151e-04
-1.723681e+00 -4.909086e-05 -1.263467e-04
-1.719430e+00 -4.965816e-05 -1.269809e-04
-1.715179e+00 -5.022900e-05 -1.276178e-04
-1.710928e+00 -5.080340e-05 -1.282573e-04
-1.706677e+00 -5.138136e-05 -1.288994e-04
-1.702426e+00 -5.196291e-05 -1.295443e-04
-1.698175e+00 -5.254805e-05 -1.301918e-04
-1.693923e+00 -5.313680e-05 -1.308420e-04
-1.689672e+00 -5.372917e-05 -1.314950e-04
-1.685421e+00 -5.432517e-05 -1.321507e-04
-1.681170e+00 -5.492482e-05 -1.328091e-04
-1.676919e+00 -5.552814e-05 -1.334703e-04
-1.672668e+00 -5.613513e-05 -1.341343e-04
-1.668417e+00 -5.674581e-05 -1.348011e-04
-1.664166e+00 -5.736019e-05 -1.354707e-04
-1.659915e+00 -5.797828e-05 -1.361432e-04
-1.655664e+00 -5.860011e-05 -1.368185e-04
-1.651413e+00 -5.922568e-05 -1.374967e-04
-1.647162e+00 -5.985500e-05 -1.381777e-04
-1.642911e+00 -6.048810e-05 -1.388617e-04
-1.638660e+00 -6.112498e-05 -1.395485e-04
-1.634409e+00 -6.176566e-05 -1.402383e-04
-1.630158e+00 -6.241014e-05 -1.409311e-04
-1.625906e+00 -6.305845e-05 -1.416268e-04
-1.621655e+00 -6.371061e-05 -1.423255e-04
-1.617404e+00 -6.436661e-05 -1.430272e-04
-1.613153e+00 -6.502647e-05 -1.437320e-04
-1.608902e+00 -6.569022e-05 -1.444397e-04
-1.604651e+00 -6.635786e-05 -1.451506e-04
-1.600400e+00 -6.702941e-05 -1.458645e-04
-1.596149e+00 -6.770488e-05 -1.465815e-04
-1.591898e+00 -6.838428e-05 -1.473016e-04
-1.587647e+00 -6.906763e-05 -1.480249e-04
-1.583396e+00 -6.975494e-05 -1.487513e-04
-1.579145e+00 -7.044623e-05 -1.494809e-04
-1.574894e+00 -7.114150e-05 -1.502137e-04
-1.570643e+00 -7.184078e-05 -1.509497e-04
-1.566392e+00 -7.254408e-05 -1.516889e-04
-1.562141e+00 -7.325141e-05 -1.524314e-04
-1.557889e+00 -7.396278e-05 -1.531771e-04
-1.553638e+00 -7.467821e-05 -1.539262e-04
-1.549387e+00 -7.539772e-05 -1.546785e-04
-1.545136e+00 -7.612131e-05 -1.554342e-04
-1.540885e+00 -7.684900e-05 -1.561933e-04
-1.536634e+00 -7.758080e-05 -1.569557e-04
-1.532383e+00 -7.831674e-05 -1.577215e-04
-1.528132e+00 -7.905681e-05 -1.584907e-04
-1.523881e+00 -7.980104e-05 -1.592634e-04
-1.519630e+00 -8.054944e-05 -1.600395e-04
-1.515379e+00 -8.130202e-05 -1.608191e-04
-1.511128e+00 -8.205881e-05 -1.616022e-04
-1.506877e+00 -8.281980e-05 -1.623889e-04
-1.502626e+00 -8.358502e-05 -1.631791e-04
-1.498375e+00 -8.435448e-05 -1.639729e-04
-1.494124e+00 -8.512819e-05 -1.647702e-04
-1.489872e+00 -8.590616e-05 -1.655712e-04
-1.485621e+00 -8.668842e-05 -1.663758e-04
-1.481370e+00 -8.747498e-05 -1.671841e-04
-1.477119e+00 -8.826584e-05 -1.679961e-04
-1.472868e+00 -8.906103e-05 -1.688118e-04
-1.468617e+00 -8.986055e-05 -1.696312e-04
-1.464366e+00 -9.066442e-05 -1.704544e-04
-1.460115e+00 -9.147266e-05 -1.712814e-04
-1.455864e+00 -9.228528e-05 -1.721122e-04
-1.451613e+00 -9.310229e-05 -1.729468e-04
-1.447362e+00 -9.392371e-05 -1.737853e-04
-1.443111e+00 -9.474954e-05 -1.746277e-04
-1.438860e+00 -9.557981e-05 -1.754739e-04
-1.434609e+00 -9.641453e-05 -1.763242e-04
-1.430358e+00 -9.725371e-05 -1.771783e-04
-1.426107e+00 -9.809737e-05 -1.780365e-04
-1.421855e+00 -9.894552e-05 -1.788987e-04
-1.417604e+00 -9.979817e-05 -1.797649e-04
-1.413353e+00 -1.006553e-04 -1.806352e-04
-1.409102e+00 -1.015170e-04 -1.815096e-04
-1.404851e+00 -1.023833e-04 -1.823881e-04
-1.400600e+00 -1.032541e-04 -1.832708e-04
-1.396349e+00 -1.041295e-04 -1.841577e-04
-1.392098e+00 -1.050094e-04 -1.850487e-04
-1.387847e+00 -1.058940e-04 -1.859440e-04
-1.383596e+00 -1.067832e-04 -1.868435e-04
-1.379345e+00 -1.076770e-04 -1.877474e-04
-1.375094e+00 -1.085754e-04 -1.886555e-04
-1.370843e+00 -1.094785e-04 -1.895681e-04
-1.366592e+00 -1.103863e-04 -1.904849e-04
-1.362341e+00 -1.112987e-04 -1.914062e-04
-1.358090e+00 -1.122159e-04 -1.923320e-04
-1.353838e+00 -1.131377e-04 -1.932622e-04
-1.349587e+00 -1.140643e-04 -1.941969e-04
-1.345336e+00 -1.149956e-04 -1.951361e-04
-1.341085e+00 -1.159317e-04 -1.960799e-04
-1.336834e+00 -1.168726e-04 -1.970283e-04
-1.332583e+00 -1.178182e-04 -1.979813e-04
-1.328332e+00 -1.187686e-04 -1.989390e-04
-1.324081e+00 -1.197238e-04 -1.999013e-04
-1.319830e+00 -1.206838e-04 -2.008684e-04
-1.315579e+00 -1.216487e-04 -2.018402e-04
-1.311328e+00 -1.226184e-04 -2.028168e-04
-1.307077e+00 -1.235929e-04 -2.037982e-04
-1.302826e+00 -1.245724e-04 -2.047844e-04
-1.298575e+00 -1.255567e-04 -2.057756e-04
-1.294324e+00 -1.265459e-04 -2.067716e-04
-1.290073e+00 -1.275400e-04 -2.077726e-04
-1.285821e+00 -1.285391e-04 -2.087786e-04
-1.281570e+00 -1.295430e-04 -2.097896e-04
-1.277319e+00 -1.305520e-04 -2.108057e-04
-1.273068e+00 -1.315659e-04 -2.118268e-04
-1.268817e+00 -1.325848e-04 -2.128531e-04
-1.264566e+00 -1.336086e-04 -2.138845e-04
-1.260315e+00 -1.346375e-04 -2.149211e-04
-1.256064e+00 -1.356714e-04 -2.159630e-04
-1.251813e+00 -1.367103e-04 -2.170101e-04
-1.247562e+00 -1.377542e-04 -2.180625e-04
-1.243311e+00 -1.388032e-04 -2.191202e-04
-1.239060e+00 -1.398573e-04 -2.201834e-04
-1.234809e+00 -1.409165e-04 -2.212519e-04
-1.230558e+00 -1.419807e-04 -2.223259e-04
-1.226307e+00 -1.430500e-04 -2.234054e-04
-1.222056e+00 -1.441245e-04 -2.244904e-04
-1.217804e+00 -1.452041e-04 -2.255810e-04
-1.213553e+00 -1.462888e-04 -2.266772e-04
-1.209302e+00 -1.473787e-04 -2.277790e-04
-1.205051e+00 -1.484738e-04 -2.288865e-04
-1.200800e+00 -1.495740e-04 -2.299998e-04
-1.196549e+00 -1.506794e-04 -2.311188e-04
-1.192298e+00 -1.517900e-04 -2.322436e-04
-1.188047e+00 -1.529058e-04 -2.333743e-04
-1.183796e+00 -1.540269e-04 -2.345108e-04
-1.179545e+00 -1.551532e-04 -2.356533e-04
-1.175294e+00 -1.562847e-04 -2.368018e-04
-1.171043e+00 -1.574215e-04 -2.379562e-04
-1.166792e+00 -1.585636e-04 -2.391167e-04
-1.162541e+00 -1.597110e-04 -2.402833e-04
-1.158290e+00 -1.608636e-04 -2.414561e-04
-1.154039e+00 -1.620216e-04 -2.426350e-04
-1.149787e+00 -1.631848e-04 -2.438202e-04
-1.145536e+00 -1.643534e-04 -2.450116e-04
-1.141285e+00 -1.655274e-04 -2.462094e-04
-1.137034e+00 -1.667067e-04 -2.474135e-04
-1.132783e+00 -1.678913e-04 -2.486240e-04
-1.128532e+00 -1.690814e-04 -2.498410e-04
-1.124281e+00 -1.702768e-04 -2.510645e-04
-1.120030e+00 -1.714776e-04 -2.522945e-04
-1.115779e+00 -1.726838e-04 -2.535311e-04
-1.111528e+00 -1.738954e-04 -2.547743e-04
-1.107277e+00 -1.751125e-04 -2.560242e-04
-1.103026e+00 -1.763349e-04 -2.572809e-04
-1.098775e+00 -1.775629e-04 -2.585443e-04
-1.094524e+00 -1.787963e-04 -2.598145e-04
-1.090273e+00 -1.800351e-04 -2.610917e-04
-1.086022e+00 -1.812794e-04 -2.623757e-04
-1.081770e+00 -1.825292e-04 -2.636667e-04
-1.077519e+00 -1.837846e-04 -2.649648e-04
-1.073268e+00 -1.850454e-04 -2.662699e-04
-1.069017e+00 -1.863117e-04 -2.675821e-04
-1.064766e+00 -1.875835e-04 -2.689015e-04
-1.060515e+00 -1.888609e-04 -2.702282e-04
-1.056264e+00 -1.901438e-04 -2.715621e-04
-1.052013e+00 -1.914323e-04 -2.729033e-04
-1.047762e+00 -1.927263e-04 -2.742519e-04
-1.043511e+00 -1.940259e-04 -2.756080e-04
-1.039260e+00 -1.953311e-04 -2.769715e-04
-1.035009e+00 -1.966418e-04 -2.783425e-04
-1.030758e+00 -1.979582e-04 -2.797212e-04
-1.026507e+00 -1.992801e-04 -2.811075e-04
-1.022256e+00 -2.006077e-04 -2.825015e-04
-1.018005e+00 -2.019408e-04 -2.839033e-04
-1.013753e+00 -2.032796e-04 -2.853128e-04
-1.009502e+00 -2.046240e-04 -2.867302e-04
-1.005251e+00 -2.059741e-04 -2.881556e-04
-1.001000e+00 -2.073298e-04 -2.895889e-04
-9.967492e-01 -2.086912e-04 -2.910303e-04
-9.924981e-01 -2.100582e-04 -2.924797e-04
-9.882471e-01 -2.114309e-04 -2.939373e-04
-9.839960e-01 -2.128092e-04 -2.954031e-04
-9.797449e-01 -2.141932e-04 -2.968772e-04
-9.754939e-01 -2.155830e-04 -2.983596e-04
-9.712428e-01 -2.169784e-04 -2.998503e-04
-9.669917e-01 -2.183795e-04 -3.013496e-04
-9.627407e-01 -2.197863e-04 -3.028573e-04
-9.584896e-01 -2.211988e-04 -3.043736e-04
-9.542386e-01 -2.226170e-04 -3.058985e-04
-9.499875e-01 -2.240409e-04 -3.074321e-04
-9.457364e-01 -2.254706e-04 -3.089744e-04
-9.414854e-01 -2.269060e-04 -3.105255e-04
-9.372343e-01 -2.283471e-04 -3.120856e-04
-9.329832e-01 -2.297940e-04 -3.136545e-04
-9.287322e-01 -2.312466e-04 -3.152324e-04
-9.244811e-01 -2.327049e-04 -3.168195e-04
-9.202301e-01 -2.341690e-04 -3.184156e-04
-9.159790e-01 -2.356389e-04 -3.200209e-04
-9.117279e-01 -2.371145e-04 -3.216355e-04
-9.074769e-01 -2.385958e-04 -3.232594e-04
-9.032258e-01 -2.400829e-04 -3.248927e-04
