x prob_density
-2.000000e+00 6.961954e-10
-1.995749e+00 7.164290e-10
-1.991498e+00 7.372356e-10
-1.987247e+00 7.586311e-10
-1.982996e+00 7.806316e-10
-1.978745e+00 8.032539e-10
-1.974494e+00 8.265150e-10
-1.970243e+00 8.504324e-10
-1.965991e+00 8.750241e-10
-1.961740e+00 9.003087e-10
-1.957489e+00 9.263051e-10
-1.953238e+00 9.530328e-10
-1.948987e+00 9.805118e-10
-1.944736e+00 1.008763e-09
-1.940485e+00 1.037806e-09
-1.936234e+00 1.067665e-09
-1.931983e+00 1.098360e-09
-1.927732e+00 1.129914e-09
-1.923481e+00 1.162351e-09
-1.919230e+00 1.195696e-09
-1.914979e+00 1.229972e-09
-1.910728e+00 1.265204e-09
-1.906477e+00 1.301420e-09
-1.902226e+00 1.338645e-09
-1.897974e+00 1.376907e-09
-1.893723e+00 1.416234e-09
-1.889472e+00 1.456654e-09
-1.885221e+00 1.498198e-09
-1.880970e+00 1.540895e-09
-1.876719e+00 1.584777e-09
-1.872468e+00 1.629875e-09
-1.868217e+00 1.676223e-09
-1.863966e+00 1.723853e-09
-1.859715e+00 1.772802e-09
-1.855464e+00 1.823102e-09
-1.851213e+00 1.874793e-09
-1.846962e+00 1.927909e-09
-1.842711e+00 1.982490e-09
-1.838460e+00 2.038575e-09
-1.834209e+00 2.096204e-09
-1.829957e+00 2.155419e-09
-1.825706e+00 2.216261e-09
-1.821455e+00 2.278774e-09
-1.817204e+00 2.343003e-09
-1.812953e+00 2.408994e-09
-1.808702e+00 2.476793e-09
-1.804451e+00 2.546448e-09
-1.800200e+00 2.618009e-09
-1.795949e+00 2.691526e-09
-1.791698e+00 2.767052e-09
-1.787447e+00 2.844639e-09
-1.783196e+00 2.924343e-09
-1.778945e+00 3.006218e-09
-1.774694e+00 3.090323e-09
-1.770443e+00 3.176717e-09
-1.766192e+00 3.265459e-09
-1.761940e+00 3.356613e-09
-1.757689e+00 3.450241e-09
-1.753438e+00 3.546408e-09
-1.749187e+00 3.645182e-09
-1.744936e+00 3.746631e-09
-1.740685e+00 3.850825e-09
-1.736434e+00 3.957836e-09
-1.732183e+00 4.067739e-09
-1.727932e+00 4.180608e-09
-1.723681e+00 4.296522e-09
-1.719430e+00 4.415560e-09
-1.715179e+00 4.537804e-09
-1.710928e+00 4.663338e-09
-1.706677e+00 4.792247e-09
-1.702426e+00 4.924620e-09
-1.698175e+00 5.060547e-09
-1.693923e+00 5.200119e-09
-1.689672e+00 5.343433e-09
-1.685421e+00 5.490584e-09
-1.681170e+00 5.641674e-09
-1.676919e+00 5.796803e-09
-1.672668e+00 5.956077e-09
-1.668417e+00 6.119604e-09
-1.664166e+00 6.287492e-09
-1.659915e+00 6.459855e-09
-1.655664e+00 6.636808e-09
-1.651413e+00 6.818470e-09
-1.647162e+00 7.004962e-09
-1.642911e+00 7.196409e-09
-1.638660e+00 7.392938e-09
-1.634409e+00 7.594680e-09
-1.630158e+00 7.801769e-09
-1.625906e+00 8.014341e-09
-1.621655e+00 8.232539e-09
-1.617404e+00 8.456505e-09
-1.613153e+00 8.686388e-09
-1.608902e+00 8.922339e-09
-1.604651e+00 9.164513e-09
-1.600400e+00 9.413070e-09
-1.596149e+00 9.668171e-09
-1.591898e+00 9.929984e-09
-1.587647e+00 1.019868e-08
-1.583396e+00 1.047443e-08
-1.579145e+00 1.075742e-08
-1.574894e+00 1.104784e-08
-1.570643e+00 1.134586e-08
-1.566392e+00 1.165168e-08
-1.562141e+00 1.196551e-08
-1.557889e+00 1.228754e-08
-1.553638e+00 1.261798e-08
-1.549387e+00 1.295704e-08
-1.545136e+00 1.330494e-08
-1.540885e+00 1.366191e-08
-1.536634e+00 1.402817e-08
-1.532383e+00 1.440395e-08
-1.528132e+00 1.478951e-08
-1.523881e+00 1.518507e-08
-1.519630e+00 1.559090e-08
-1.515379e+00 1.600725e-08
-1.511128e+00 1.643438e-08
