z rho_density
-5.000000e+00 3.503303e-33
-4.994999e+00 3.962965e-33
-4.989997e+00 4.482489e-33
-4.984996e+00 5.069614e-33
-4.979995e+00 5.733069e-33
-4.974994e+00 6.482701e-33
-4.969992e+00 7.329620e-33
-4.964991e+00 8.286354e-33
-4.959990e+00 9.367036e-33
-4.954989e+00 1.058760e-32
-4.949987e+00 1.196601e-32
-4.944986e+00 1.352252e-32
-4.939985e+00 1.527998e-32
-4.934984e+00 1.726412e-32
-4.929982e+00 1.950396e-32
-4.924981e+00 2.203219e-32
-4.919980e+00 2.488566e-32
-4.914979e+00 2.810589e-32
-4.909977e+00 3.173964e-32
-4.904976e+00 3.583961e-32
-4.899975e+00 4.046516e-32
-4.894974e+00 4.568312e-32
-4.889972e+00 5.156878e-32
-4.884971e+00 5.820691e-32
-4.879970e+00 6.569297e-32
-4.874969e+00 7.413441e-32
-4.869967e+00 8.365219e-32
-4.864966e+00 9.438250e-32
-4.859965e+00 1.064786e-31
-4.854964e+00 1.201129e-31
-4.849962e+00 1.354795e-31
-4.844961e+00 1.527967e-31
-4.839960e+00 1.723103e-31
-4.834959e+00 1.942965e-31
-4.829957e+00 2.190662e-31
-4.824956e+00 2.469689e-31
-4.819955e+00 2.783978e-31
-4.814954e+00 3.137950e-31
-4.809952e+00 3.536575e-31
-4.804951e+00 3.985439e-31
-4.799950e+00 4.490826e-31
-4.794949e+00 5.059793e-31
-4.789947e+00 5.700277e-31
-4.784946e+00 6.421194e-31
-4.779945e+00 7.232562e-31
-4.774944e+00 8.145640e-31
-4.769942e+00 9.173072e-31
-4.764941e+00 1.032907e-30
-4.759940e+00 1.162958e-30
-4.754939e+00 1.309252e-30
-4.749937e+00 1.473803e-30
-4.744936e+00 1.658868e-30
-4.739935e+00 1.866987e-30
-4.734934e+00 2.101005e-30
-4.729932e+00 2.364120e-30
-4.724931e+00 2.659920e-30
-4.719930e+00 2.992431e-30
-4.714929e+00 3.366173e-30
-4.709927e+00 3.786216e-30
-4.704926e+00 4.258247e-30
-4.699925e+00 4.788648e-30
-4.694924e+00 5.384577e-30
-4.689922e+00 6.054062e-30
-4.684921e+00 6.806107e-30
-4.679920e+00 7.650807e-30
-4.674919e+00 8.599483e-30
-4.669917e+00 9.664827e-30
-4.664916e+00 1.086106e-29
-4.659915e+00 1.220414e-29
-4.654914e+00 1.371194e-29
-4.649912e+00 1.540448e-29
-4.644911e+00 1.730421e-29
-4.639910e+00 1.943627e-29
-4.634909e+00 2.182886e-29
-4.629907e+00 2.451351e-29
-4.624906e+00 2.752559e-29
-4.619905e+00 3.090469e-29
-4.614904e+00 3.469515e-29
-4.609902e+00 3.894662e-29
-4.604901e+00 4.371468e-29
-4.599900e+00 4.906158e-29
-4.594899e+00 5.505697e-29
-4.589897e+00 6.177883e-29
-4.584896e+00 6.931444e-29
-4.579895e+00 7.776144e-29
-4.574894e+00 8.722912e-29
-4.569892e+00 9.783975e-29
-4.564891e+00 1.097301e-28
-4.559890e+00 1.230532e-28
-4.554889e+00 1.379801e-28
-4.549887e+00 1.547022e-28
-4.544886e+00 1.734337e-28
-4.539885e+00 1.944137e-28
-4.534884e+00 2.179099e-28
-4.529882e+00 2.442213e-28
-4.524881e+00 2.736824e-28
-4.519880e+00 3.066668e-28
-4.514879e+00 3.435921e-28
-4.509877e+00 3.849252e-28
-4.504876e+00 4.311873e-28
-4.499875e+00 4.829612e-28
-4.494874e+00 5.408978e-28
-4.489872e+00 6.057239e-28
-4.484871e+00 6.782516e-28
-4.479870e+00 7.593876e-28
-4.474869e+00 8.501447e-28
-4.469867e+00 9.516533e-28
-4.464866e+00 1.065176e-27
-4.459865e+00 1.192121e-27
-4.454864e+00 1.334063e-27
-4.449862e+00 1.492755e-27
-4.444861e+00 1.670158e-27
-4.439860e+00 1.868457e-27
-4.434859e+00 2.090091e-27
-4.429857e+00 2.337782e-27
-4.424856e+00 2.614565e-27
-4.419855e+00 2.923825e-27
-4.414854e+00 3.269339e-27
-4.409852e+00 3.655318e-27
-4.404851e+00 4.086457e-27
-4.399850e+00 4.567993e-27
-4.394849e+00 5.105760e-27
-4.389847e+00 5.706266e-27
-4.384846e+00 6.376763e-27
-4.379845e+00 7.125332e-27
-4.374844e+00 7.960980e-27
-4.369842e+00 8.893743e-27
-4.364841e+00 9.934803e-27
-4.359840e+00 1.109662e-26
-4.354839e+00 1.239306e-26
-4.349837e+00 1.383958e-26
-4.344836e+00 1.545340e-26
-4.339835e+00 1.725368e-26
-4.334834e+00 1.926176e-26
-4.329832e+00 2.150141e-26
-4.324831e+00 2.399907e-26
-4.319830e+00 2.678419e-26
-4.314829e+00 2.988954e-26
-4.309827e+00 3.335159e-26
-4.304826e+00 3.721093e-26
-4.299825e+00 4.151270e-26
-4.294824e+00 4.630716e-26
-4.289822e+00 5.165019e-26
-4.284821e+00 5.760395e-26
-4.279820e+00 6.423759e-26
-4.274819e+00 7.162800e-26
-4.269817e+00 7.986069e-26
-4.264816e+00 8.903071e-26
-4.259815e+00 9.924377e-26
-4.254814e+00 1.106173e-25
-4.249812e+00 1.232821e-25
-4.244811e+00 1.373830e-25
-4.239810e+00 1.530816e-25
-4.234809e+00 1.705569e-25
-4.229807e+00 1.900082e-25
-4.224806e+00 2.116567e-25
-4.219805e+00 2.357482e-25
-4.214804e+00 2.625555e-25
-4.209802e+00 2.923820e-25
-4.204801e+00 3.255643e-25
-4.199800e+00 3.624761e-25
-4.194799e+00 4.035327e-25
-4.189797e+00 4.491947e-25
-4.184796e+00 4.999736e-25
-4.179795e+00 5.564373e-25
-4.174794e+00 6.192157e-25
-4.169792e+00 6.890080e-25
-4.164791e+00 7.665901e-25
-4.159790e+00 8.528227e-25
-4.154789e+00 9.486607e-25
-4.149787e+00 1.055163e-24
-4.144786e+00 1.173505e-24
-4.139785e+00 1.304990e-24
-4.134784e+00 1.451061e-24
-4.129782e+00 1.613321e-24
-4.124781e+00 1.793546e-24
-4.119780e+00 1.993706e-24
-4.114779e+00 2.215981e-24
-4.109777e+00 2.462792e-24
-4.104776e+00 2.736818e-24
-4.099775e+00 3.041030e-24
-4.094774e+00 3.378720e-24
-4.089772e+00 3.753533e-24
-4.084771e+00 4.169509e-24
-4.079770e+00 4.631121e-24
-4.074769e+00 5.143326e-24
-4.069767e+00 5.711610e-24
-4.064766e+00 6.342049e-24
-4.059765e+00 7.041373e-24
-4.054764e+00 7.817027e-24
-4.049762e+00 8.677259e-24
-4.044761e+00 9.631193e-24
-4.039760e+00 1.068893e-23
-4.034759e+00 1.186165e-23
-4.029757e+00 1.316171e-23
-4.024756e+00 1.460280e-23
-4.019755e+00 1.620007e-23
-4.014754e+00 1.797025e-23
-4.009752e+00 1.993186e-23
-4.004751e+00 2.210539e-23
-3.999750e+00 2.451349e-23
-3.994749e+00 2.718121e-23
-3.989747e+00 3.013624e-23
-3.984746e+00 3.340918e-23
-3.979745e+00 3.703389e-23
-3.974744e+00 4.104775e-23
-3.969742e+00 4.549210e-23
-3.964741e+00 5.041262e-23
-3.959740e+00 5.585977e-23
-3.954739e+00 6.188930e-23
-3.949737e+00 6.856282e-23
-3.944736e+00 7.594835e-23
-3.939735e+00 8.412105e-23
-3.934734e+00 9.316388e-23
-3.929732e+00 1.031685e-22
-3.924731e+00 1.142361e-22
-3.919730e+00 1.264783e-22
-3.914729e+00 1.400185e-22
-3.909727e+00 1.549927e-22
-3.904726e+00 1.715512e-22
-3.899725e+00 1.898598e-22
-3.894724e+00 2.101013e-22
-3.889722e+00 2.324776e-22
-3.884721e+00 2.572114e-22
-3.879720e+00 2.845482e-22
-3.874719e+00 3.147589e-22
-3.869717e+00 3.481423e-22
-3.864716e+00 3.850280e-22
-3.859715e+00 4.257791e-22
-3.854714e+00 4.707962e-22
-3.849712e+00 5.205210e-22
-3.844711e+00 5.754401e-22
-3.839710e+00 6.360900e-22
-3.834709e+00 7.030621e-22
-3.829707e+00 7.770078e-22
-3.824706e+00 8.586451e-22
-3.819705e+00 9.487649e-22
-3.814704e+00 1.048239e-21
-3.809702e+00 1.158026e-21
-3.804701e+00 1.279184e-21
-3.799700e+00 1.412877e-21
-3.794699e+00 1.560387e-21
-3.789697e+00 1.723126e-21
-3.784696e+00 1.902646e-21
-3.779695e+00 2.100661e-21
-3.774694e+00 2.319051e-21
-3.769692e+00 2.559890e-21
-3.764691e+00 2.825458e-21
-3.759690e+00 3.118266e-21
-3.754689e+00 3.441074e-21
-3.749687e+00 3.796920e-21
-3.744686e+00 4.189146e-21
-3.739685e+00 4.621428e-21
-3.734684e+00 5.097808e-21
-3.729682e+00 5.622732e-21
-3.724681e+00 6.201087e-21
-3.719680e+00 6.838250e-21
-3.714679e+00 7.540127e-21
-3.709677e+00 8.313215e-21
-3.704676e+00 9.164651e-21
-3.699675e+00 1.010228e-20
-3.694674e+00 1.113473e-20
-3.689672e+00 1.227146e-20
-3.684671e+00 1.352290e-20
-3.679670e+00 1.490046e-20
-3.674669e+00 1.641672e-20
-3.669667e+00 1.808546e-20
-3.664666e+00 1.992184e-20
-3.659665e+00 2.194249e-20
-3.654664e+00 2.416567e-20
-3.649662e+00 2.661145e-20
-3.644661e+00 2.930183e-20
-3.639660e+00 3.226099e-20
-3.634659e+00 3.551543e-20
-3.629657e+00 3.909428e-20
-3.624656e+00 4.302946e-20
-3.619655e+00 4.735602e-20
-3.614654e+00 5.211241e-20
-3.609652e+00 5.734079e-20
-3.604651e+00 6.308742e-20
-3.599650e+00 6.940305e-20
-3.594649e+00 7.634329e-20
-3.589647e+00 8.396917e-20
-3.584646e+00 9.234756e-20
-3.579645e+00 1.015518e-19
-3.574644e+00 1.116623e-19
-3.569642e+00 1.227671e-19
-3.564641e+00 1.349627e-19
-3.559640e+00 1.483551e-19
-3.554639e+00 1.630601e-19
-3.549637e+00 1.792048e-19
-3.544636e+00 1.969283e-19
-3.539635e+00 2.163830e-19
-3.534634e+00 2.377359e-19
-3.529632e+00 2.611699e-19
-3.524631e+00 2.868851e-19
-3.519630e+00 3.151008e-19
-3.514629e+00 3.460570e-19
-3.509627e+00 3.800165e-19
-3.504626e+00 4.172667e-19
-3.499625e+00 4.581226e-19
-3.494624e+00 5.029286e-19
-3.489622e+00 5.520615e-19
-3.484621e+00 6.059339e-19
-3.479620e+00 6.649970e-19
-3.474619e+00 7.297443e-19
