z rho_density
-5.000000e+00 3.994883e-29
-4.994999e+00 4.483899e-29
-4.989997e+00 5.032272e-29
-4.984996e+00 5.647146e-29
-4.979995e+00 6.336515e-29
-4.974994e+00 7.109329e-29
-4.969992e+00 7.975599e-29
-4.964991e+00 8.946530e-29
-4.959990e+00 1.003466e-28
-4.954989e+00 1.125400e-28
-4.949987e+00 1.262025e-28
-4.944986e+00 1.415096e-28
-4.939985e+00 1.586573e-28
-4.934984e+00 1.778652e-28
-4.929982e+00 1.993786e-28
-4.924981e+00 2.234717e-28
-4.919980e+00 2.504513e-28
-4.914979e+00 2.806601e-28
-4.909977e+00 3.144811e-28
-4.904976e+00 3.523425e-28
-4.899975e+00 3.947227e-28
-4.894974e+00 4.421563e-28
-4.889972e+00 4.952404e-28
-4.884971e+00 5.546423e-28
-4.879970e+00 6.211071e-28
-4.874969e+00 6.954671e-28
-4.869967e+00 7.786518e-28
-4.864966e+00 8.716991e-28
-4.859965e+00 9.757678e-28
-4.854964e+00 1.092152e-27
-4.849962e+00 1.222295e-27
-4.844961e+00 1.367810e-27
-4.839960e+00 1.530496e-27
-4.834959e+00 1.712360e-27
-4.829957e+00 1.915642e-27
-4.824956e+00 2.142844e-27
-4.819955e+00 2.396753e-27
-4.814954e+00 2.680480e-27
-4.809952e+00 2.997495e-27
-4.804951e+00 3.351668e-27
-4.799950e+00 3.747314e-27
-4.794949e+00 4.189245e-27
-4.789947e+00 4.682826e-27
-4.784946e+00 5.234039e-27
-4.779945e+00 5.849550e-27
-4.774944e+00 6.536790e-27
-4.769942e+00 7.304042e-27
-4.764941e+00 8.160534e-27
-4.759940e+00 9.116549e-27
-4.754939e+00 1.018354e-26
-4.749937e+00 1.137428e-26
-4.744936e+00 1.270298e-26
-4.739935e+00 1.418548e-26
-4.734934e+00 1.583941e-26
-4.729932e+00 1.768441e-26
-4.724931e+00 1.974234e-26
-4.719930e+00 2.203755e-26
-4.714929e+00 2.459714e-26
-4.709927e+00 2.745127e-26
-4.704926e+00 3.063353e-26
-4.699925e+00 3.418127e-26
-4.694924e+00 3.813606e-26
-4.689922e+00 4.254418e-26
-4.684921e+00 4.745709e-26
-4.679920e+00 5.293203e-26
-4.674919e+00 5.903271e-26
-4.669917e+00 6.582993e-26
-4.664916e+00 7.340248e-26
-4.659915e+00 8.183793e-26
-4.654914e+00 9.123367e-26
-4.649912e+00 1.016980e-25
