z rho_density
-5.000000e+00 1.679610e-37
-4.994999e+00 1.914859e-37
-4.989997e+00 2.182839e-37
-4.984996e+00 2.488074e-37
-4.979995e+00 2.835708e-37
-4.974994e+00 3.231590e-37
-4.969992e+00 3.682372e-37
-4.964991e+00 4.195615e-37
-4.959990e+00 4.779916e-37
-4.954989e+00 5.445045e-37
-4.949987e+00 6.202108e-37
-4.944986e+00 7.063725e-37
-4.939985e+00 8.044237e-37
-4.934984e+00 9.159938e-37
-4.929982e+00 1.042934e-36
-4.924981e+00 1.187347e-36
-4.919980e+00 1.351622e-36
-4.914979e+00 1.538471e-36
-4.909977e+00 1.750976e-36
-4.904976e+00 1.992634e-36
-4.899975e+00 2.267417e-36
-4.894974e+00 2.579835e-36
-4.889972e+00 2.935007e-36
-4.884971e+00 3.338742e-36
-4.879970e+00 3.797636e-36
-4.874969e+00 4.319170e-36
-4.869967e+00 4.911837e-36
-4.864966e+00 5.585270e-36
-4.859965e+00 6.350399e-36
-4.854964e+00 7.219622e-36
-4.849962e+00 8.207001e-36
-4.844961e+00 9.328486e-36
-4.839960e+00 1.060216e-35
-4.834959e+00 1.204854e-35
-4.829957e+00 1.369086e-35
-4.824956e+00 1.555550e-35
-4.819955e+00 1.767233e-35
-4.814954e+00 2.007521e-35
-4.809952e+00 2.280253e-35
-4.804951e+00 2.589778e-35
-4.799950e+00 2.941025e-35
-4.794949e+00 3.339578e-35
-4.789947e+00 3.791761e-35
-4.784946e+00 4.304740e-35
-4.779945e+00 4.886631e-35
-4.774944e+00 5.546625e-35
-4.769942e+00 6.295129e-35
-4.764941e+00 7.143928e-35
-4.759940e+00 8.106365e-35
-4.754939e+00 9.197543e-35
-4.749937e+00 1.043456e-34
-4.744936e+00 1.183676e-34
-4.739935e+00 1.342606e-34
-4.734934e+00 1.522722e-34
-4.729932e+00 1.726829e-34
-4.724931e+00 1.958099e-34
-4.719930e+00 2.220121e-34
-4.714929e+00 2.516954e-34
-4.709927e+00 2.853188e-34
-4.704926e+00 3.234017e-34
-4.699925e+00 3.665310e-34
-4.694924e+00 4.153705e-34
-4.689922e+00 4.706709e-34
-4.684921e+00 5.332803e-34
-4.679920e+00 6.041578e-34
-4.674919e+00 6.843872e-34
-4.669917e+00 7.751932e-34
-4.664916e+00 8.779598e-34
-4.659915e+00 9.942508e-34
-4.654914e+00 1.125833e-33
-4.649912e+00 1.274701e-33
