z rho_density
-5.000000e+00 2.484994e-25
-4.994999e+00 2.767466e-25
-4.989997e+00 3.081739e-25
-4.984996e+00 3.431357e-25
-4.979995e+00 3.820257e-25
-4.974994e+00 4.252808e-25
-4.969992e+00 4.733863e-25
-4.964991e+00 5.268805e-25
-4.959990e+00 5.863612e-25
-4.954989e+00 6.524916e-25
-4.949987e+00 7.260076e-25
-4.944986e+00 8.077260e-25
-4.939985e+00 8.985526e-25
-4.934984e+00 9.994926e-25
-4.929982e+00 1.111661e-24
-4.924981e+00 1.236293e-24
-4.919980e+00 1.374761e-24
-4.914979e+00 1.528586e-24
-4.909977e+00 1.699452e-24
-4.904976e+00 1.889229e-24
-4.899975e+00 2.099988e-24
-4.894974e+00 2.334026e-24
-4.889972e+00 2.593887e-24
-4.884971e+00 2.882393e-24
-4.879970e+00 3.202667e-24
-4.874969e+00 3.558173e-24
-4.869967e+00 3.952746e-24
-4.864966e+00 4.390635e-24
-4.859965e+00 4.876547e-24
-4.854964e+00 5.415693e-24
-4.849962e+00 6.013846e-24
-4.844961e+00 6.677396e-24
-4.839960e+00 7.413419e-24
-4.834959e+00 8.229749e-24
-4.829957e+00 9.135057e-24
-4.824956e+00 1.013894e-23
-4.819955e+00 1.125202e-23
-4.814954e+00 1.248604e-23
-4.809952e+00 1.385402e-23
-4.804951e+00 1.537034e-23
-4.799950e+00 1.705091e-23
-4.794949e+00 1.891335e-23
-4.789947e+00 2.097712e-23
-4.784946e+00 2.326376e-23
-4.779945e+00 2.579708e-23
-4.774944e+00 2.860341e-23
-4.769942e+00 3.171186e-23
-4.764941e+00 3.515460e-23
-4.759940e+00 3.896720e-23
-4.754939e+00 4.318897e-23
-4.749937e+00 4.786334e-23
-4.744936e+00 5.303833e-23
-4.739935e+00 5.876697e-23
-4.734934e+00 6.510785e-23
-4.729932e+00 7.212569e-23
-4.724931e+00 7.989198e-23
-4.719930e+00 8.848569e-23
-4.714929e+00 9.799399e-23
-4.709927e+00 1.085132e-22
-4.704926e+00 1.201495e-22
-4.699925e+00 1.330204e-22
-4.694924e+00 1.472554e-22
-4.689922e+00 1.629974e-22
-4.684921e+00 1.804042e-22
-4.679920e+00 1.996500e-22
-4.674919e+00 2.209268e-22
-4.669917e+00 2.444468e-22
-4.664916e+00 2.704436e-22
-4.659915e+00 2.991753e-22
-4.654914e+00 3.309264e-22
-4.649912e+00 3.660106e-22
-4.644911e+00 4.047739e-22
-4.639910e+00 4.475978e-22
-4.634909e+00 4.949028e-22
-4.629907e+00 5.471527e-22
-4.624906e+00 6.048585e-22
-4.619905e+00 6.685835e-22
-4.614904e+00 7.389483e-22
-4.609902e+00 8.166371e-22
-4.604901e+00 9.024034e-22
-4.599900e+00 9.970776e-22
-4.594899e+00 1.101574e-21
-4.589897e+00 1.216901e-21
-4.584896e+00 1.344167e-21
-4.579895e+00 1.484595e-21
-4.574894e+00 1.639529e-21
-4.569892e+00 1.810452e-21
-4.564891e+00 1.998993e-21
-4.559890e+00 2.206950e-21
-4.554889e+00 2.436296e-21
-4.549887e+00 2.689207e-21
-4.544886e+00 2.968077e-21
-4.539885e+00 3.275537e-21
-4.534884e+00 3.614486e-21
-4.529882e+00 3.988111e-21
-4.524881e+00 4.399917e-21
-4.519880e+00 4.853760e-21
-4.514879e+00 5.353882e-21
-4.509877e+00 5.904944e-21
-4.504876e+00 6.512076e-21
-4.499875e+00 7.180913e-21
-4.494874e+00 7.917654e-21
-4.489872e+00 8.729110e-21
-4.484871e+00 9.622768e-21
-4.479870e+00 1.060686e-20
-4.474869e+00 1.169041e-20
-4.469867e+00 1.288338e-20
-4.464866e+00 1.419666e-20
-4.459865e+00 1.564225e-20
-4.454864e+00 1.723332e-20
-4.449862e+00 1.898432e-20
-4.444861e+00 2.091115e-20
-4.439860e+00 2.303125e-20
-4.434859e+00 2.536375e-20
-4.429857e+00 2.792969e-20
-4.424856e+00 3.075215e-20
