z rho_density
-5.000000e+00 4.413388e-42
-4.994999e+00 5.070850e-42
-4.989997e+00 5.825673e-42
-4.984996e+00 6.692186e-42
-4.979995e+00 7.686818e-42
-4.974994e+00 8.828395e-42
-4.969992e+00 1.013850e-41
-4.964991e+00 1.164185e-41
-4.959990e+00 1.336679e-41
-4.954989e+00 1.534577e-41
-4.949987e+00 1.761599e-41
-4.944986e+00 2.022003e-41
-4.939985e+00 2.320670e-41
-4.934984e+00 2.663186e-41
-4.929982e+00 3.055951e-41
-4.924981e+00 3.506289e-41
-4.919980e+00 4.022590e-41
-4.914979e+00 4.614455e-41
-4.909977e+00 5.292875e-41
-4.904976e+00 6.070431e-41
-4.899975e+00 6.961519e-41
-4.894974e+00 7.982614e-41
-4.889972e+00 9.152566e-41
-4.884971e+00 1.049294e-40
-4.879970e+00 1.202841e-40
-4.874969e+00 1.378719e-40
-4.869967e+00 1.580156e-40
-4.864966e+00 1.810843e-40
-4.859965e+00 2.075001e-40
-4.854964e+00 2.377456e-40
-4.849962e+00 2.723724e-40
-4.844961e+00 3.120114e-40
-4.839960e+00 3.573834e-40
-4.834959e+00 4.093125e-40
-4.829957e+00 4.687402e-40
-4.824956e+00 5.367425e-40
-4.819955e+00 6.145488e-40
-4.814954e+00 7.035638e-40
-4.809952e+00 8.053917e-40
-4.804951e+00 9.218653e-40
-4.799950e+00 1.055078e-39
-4.794949e+00 1.207419e-39
-4.789947e+00 1.381618e-39
-4.784946e+00 1.580792e-39
-4.779945e+00 1.808499e-39
-4.774944e+00 2.068799e-39
-4.769942e+00 2.366328e-39
-4.764941e+00 2.706377e-39
-4.759940e+00 3.094982e-39
-4.754939e+00 3.539033e-39
-4.749937e+00 4.046390e-39
-4.744936e+00 4.626020e-39
-4.739935e+00 5.288152e-39
-4.734934e+00 6.044452e-39
-4.729932e+00 6.908226e-39
-4.724931e+00 7.894649e-39
-4.719930e+00 9.021021e-39
-4.714929e+00 1.030707e-38
-4.709927e+00 1.177528e-38
-4.704926e+00 1.345129e-38
-4.699925e+00 1.536432e-38
-4.694924e+00 1.754767e-38
-4.689922e+00 2.003927e-38
-4.684921e+00 2.288238e-38
-4.679920e+00 2.612625e-38
-4.674919e+00 2.982700e-38
-4.669917e+00 3.404855e-38
-4.664916e+00 3.886372e-38
-4.659915e+00 4.435542e-38
-4.654914e+00 5.061808e-38
-4.649912e+00 5.775921e-38
-4.644911e+00 6.590122e-38
-4.639910e+00 7.518345e-38
-4.634909e+00 8.576453e-38
-4.629907e+00 9.782498e-38
-4.624906e+00 1.115703e-37
-4.619905e+00 1.272342e-37
-4.614904e+00 1.450827e-37
-4.609902e+00 1.654186e-37
-4.604901e+00 1.885860e-37
-4.599900e+00 2.149766e-37
-4.594899e+00 2.450359e-37
-4.589897e+00 2.792703e-37
-4.584896e+00 3.182559e-37
-4.579895e+00 3.626475e-37
-4.574894e+00 4.131899e-37
-4.569892e+00 4.707293e-37
-4.564891e+00 5.362279e-37
-4.559890e+00 6.107791e-37
-4.554889e+00 6.956256e-37
-4.549887e+00 7.921795e-37
-4.544886e+00 9.020451e-37
-4.539885e+00 1.027045e-36
-4.534884e+00 1.169250e-36
-4.529882e+00 1.331012e-36
-4.524881e+00 1.515002e-36
-4.519880e+00 1.724253e-36
-4.514879e+00 1.962209e-36
-4.509877e+00 2.232782e-36
-4.504876e+00 2.540411e-36
-4.499875e+00 2.890136e-36
-4.494874e+00 3.287677e-36
-4.489872e+00 3.739527e-36
-4.484871e+00 4.253053e-36
-4.479870e+00 4.836615e-36
-4.474869e+00 5.499699e-36
-4.469867e+00 6.253064e-36
-4.464866e+00 7.108918e-36
-4.459865e+00 8.081106e-36
-4.454864e+00 9.185328e-36
-4.449862e+00 1.043939e-35
-4.444861e+00 1.186348e-35
-4.439860e+00 1.348050e-35
-4.434859e+00 1.531639e-35
-4.429857e+00 1.740057e-35
-4.424856e+00 1.976637e-35
-4.419855e+00 2.245160e-35
-4.414854e+00 2.549906e-35
-4.409852e+00 2.895727e-35
-4.404851e+00 3.288120e-35
-4.399850e+00 3.733313e-35
-4.394849e+00 4.238359e-35
-4.389847e+00 4.811248e-35
-4.384846e+00 5.461028e-35
-4.379845e+00 6.197943e-35
-4.374844e+00 7.033597e-35
-4.369842e+00 7.981122e-35
-4.364841e+00 9.055387e-35
-4.359840e+00 1.027322e-34
-4.354839e+00 1.165368e-34
-4.349837e+00 1.321831e-34
-4.344836e+00 1.499152e-34
-4.339835e+00 1.700090e-34
-4.334834e+00 1.927768e-34
-4.329832e+00 2.185718e-34
-4.324831e+00 2.477937e-34
-4.319830e+00 2.808944e-34
-4.314829e+00 3.183848e-34
-4.309827e+00 3.608430e-34
-4.304826e+00 4.089224e-34
-4.299825e+00 4.633617e-34
-4.294824e+00 5.249959e-34
-4.289822e+00 5.947691e-34
-4.284821e+00 6.737480e-34
-4.279820e+00 7.631382e-34
-4.274819e+00 8.643020e-34
-4.269817e+00 9.787787e-34
-4.264816e+00 1.108307e-33
-4.259815e+00 1.254851e-33
-4.254814e+00 1.420630e-33
-4.249812e+00 1.608150e-33
-4.244811e+00 1.820240e-33
-4.239810e+00 2.060095e-33
-4.234809e+00 2.331324e-33
-4.229807e+00 2.637999e-33
-4.224806e+00 2.984717e-33
-4.219805e+00 3.376668e-33
-4.214804e+00 3.819709e-33
-4.209802e+00 4.320447e-33
-4.204801e+00 4.886341e-33
-4.199800e+00 5.525804e-33
-4.194799e+00 6.248328e-33
-4.189797e+00 7.064619e-33
-4.184796e+00 7.986754e-33
-4.179795e+00 9.028353e-33
-4.174794e+00 1.020477e-32
-4.169792e+00 1.153333e-32
-4.164791e+00 1.303355e-32
-4.159790e+00 1.472745e-32
-4.154789e+00 1.663983e-32
-4.149787e+00 1.879866e-32
-4.144786e+00 2.123545e-32
-4.139785e+00 2.398571e-32
-4.134784e+00 2.708947e-32
-4.129782e+00 3.059179e-32
-4.124781e+00 3.454347e-32
-4.119780e+00 3.900171e-32
-4.114779e+00 4.403094e-32
-4.109777e+00 4.970372e-32
-4.104776e+00 5.610176e-32
-4.099775e+00 6.331705e-32
-4.094774e+00 7.145317e-32
-4.089772e+00 8.062672e-32
-4.084771e+00 9.096892e-32
-4.079770e+00 1.026275e-31
-4.074769e+00 1.157687e-31
-4.069767e+00 1.305795e-31
-4.064766e+00 1.472704e-31
-4.059765e+00 1.660783e-31
-4.054764e+00 1.872693e-31
-4.049762e+00 2.111432e-31
-4.044761e+00 2.380368e-31
-4.039760e+00 2.683292e-31
-4.034759e+00 3.024462e-31
-4.029757e+00 3.408672e-31
-4.024756e+00 3.841305e-31
-4.019755e+00 4.328415e-31
-4.014754e+00 4.876809e-31
-4.009752e+00 5.494134e-31
-4.004751e+00 6.188983e-31
-3.999750e+00 6.971015e-31
-3.994749e+00 7.851079e-31
-3.989747e+00 8.841365e-31
-3.984746e+00 9.955565e-31
-3.979745e+00 1.120906e-30
-3.974744e+00 1.261912e-30
-3.969742e+00 1.420514e-30
-3.964741e+00 1.598890e-30
-3.959740e+00 1.799485e-30
-3.954739e+00 2.025044e-30
-3.949737e+00 2.278650e-30
-3.944736e+00 2.563759e-30
-3.939735e+00 2.884253e-30
-3.934734e+00 3.244488e-30
-3.929732e+00 3.649351e-30
-3.924731e+00 4.104325e-30
-3.919730e+00 4.615561e-30
-3.914729e+00 5.189958e-30
-3.909727e+00 5.835255e-30
-3.904726e+00 6.560130e-30
-3.899725e+00 7.374314e-30
-3.894724e+00 8.288721e-30
-3.889722e+00 9.315582e-30
-3.884721e+00 1.046861e-29
-3.879720e+00 1.176318e-29
-3.874719e+00 1.321652e-29
-3.869717e+00 1.484794e-29
-3.864716e+00 1.667907e-29
-3.859715e+00 1.873415e-29
-3.854714e+00 2.104035e-29
-3.849712e+00 2.362808e-29
-3.844711e+00 2.653142e-29
-3.839710e+00 2.978854e-29
-3.834709e+00 3.344218e-29
-3.829707e+00 3.754020e-29
-3.824706e+00 4.213619e-29
-3.819705e+00 4.729013e-29
-3.814704e+00 5.306918e-29
-3.809702e+00 5.954851e-29
-3.804701e+00 6.681224e-29
-3.799700e+00 7.495451e-29
-3.794699e+00 8.408067e-29
-3.789697e+00 9.430857e-29
-3.784696e+00 1.057701e-28
-3.779695e+00 1.186127e-28
-3.774694e+00 1.330013e-28
-3.769692e+00 1.491205e-28
-3.764691e+00 1.671767e-28
-3.759690e+00 1.874003e-28
-3.754689e+00 2.100496e-28
-3.749687e+00 2.354127e-28
-3.744686e+00 2.638120e-28
-3.739685e+00 2.956077e-28
-3.734684e+00 3.312025e-28
-3.729682e+00 3.710464e-28
-3.724681e+00 4.156419e-28
-3.719680e+00 4.655509e-28
-3.714679e+00 5.214007e-28
-3.709677e+00 5.838921e-28
-3.704676e+00 6.538081e-28
-3.699675e+00 7.320228e-28
-3.694674e+00 8.195124e-28
-3.689672e+00 9.173669e-28
-3.684671e+00 1.026803e-27
-3.679670e+00 1.149180e-27
-3.674669e+00 1.286013e-27
-3.669667e+00 1.438996e-27
-3.664666e+00 1.610016e-27
-3.659665e+00 1.801182e-27
-3.654664e+00 2.014844e-27
-3.649662e+00 2.253627e-27
-3.644661e+00 2.520457e-27
-3.639660e+00 2.818598e-27
-3.634659e+00 3.151691e-27
-3.629657e+00 3.523795e-27
-3.624656e+00 3.939439e-27
-3.619655e+00 4.403669e-27
-3.614654e+00 4.922114e-27
-3.609652e+00 5.501046e-27
-3.604651e+00 6.147457e-27
-3.599650e+00 6.869139e-27
-3.594649e+00 7.674778e-27
-3.589647e+00 8.574048e-27
-3.584646e+00 9.577731e-27
-3.579645e+00 1.069784e-26
-3.574644e+00 1.194775e-26
-3.569642e+00 1.334236e-26
-3.564641e+00 1.489827e-26
-3.559640e+00 1.663396e-26
-3.554639e+00 1.857001e-26
-3.549637e+00 2.072933e-26
-3.544636e+00 2.313743e-26
-3.539635e+00 2.582269e-26
-3.534634e+00 2.881672e-26
-3.529632e+00 3.215468e-26
-3.524631e+00 3.587570e-26
-3.519630e+00 4.002334e-26
-3.514629e+00 4.464603e-26
-3.509627e+00 4.979767e-26
-3.504626e+00 5.553820e-26
-3.499625e+00 6.193429e-26
-3.494624e+00 6.906010e-26
-3.489622e+00 7.699808e-26
-3.484621e+00 8.583990e-26
-3.479620e+00 9.568748e-26
-3.474619e+00 1.066541e-25
-3.469617e+00 1.188658e-25
-3.464616e+00 1.324624e-25
-3.459615e+00 1.475996e-25
-3.454614e+00 1.644501e-25
-3.449612e+00 1.832061e-25
-3.444611e+00 2.040808e-25
-3.439610e+00 2.273114e-25
-3.434609e+00 2.531609e-25
-3.429607e+00 2.819220e-25
-3.424606e+00 3.139191e-25
-3.419605e+00 3.495129e-25
-3.414604e+00 3.891037e-25
-3.409602e+00 4.331358e-25
-3.404601e+00 4.821025e-25
-3.399600e+00 5.365515e-25
-3.394599e+00 5.970903e-25
-3.389597e+00 6.643933e-25
-3.384596e+00 7.392088e-25
-3.379595e+00 8.223669e-25
-3.374594e+00 9.147886e-25
-3.369592e+00 1.017495e-24
-3.364591e+00 1.131621e-24
-3.359590e+00 1.258421e-24
-3.354589e+00 1.399289e-24
-3.349587e+00 1.555771e-24
-3.344586e+00 1.729580e-24
-3.339585e+00 1.922615e-24
-3.334584e+00 2.136980e-24
-3.329582e+00 2.375009e-24
-3.324581e+00 2.639287e-24
-3.319580e+00 2.932680e-24
-3.314579e+00 3.258362e-24
-3.309577e+00 3.619850e-24
-3.304576e+00 4.021041e-24
-3.299575e+00 4.466251e-24
-3.294574e+00 4.960258e-24
-3.289572e+00 5.508358e-24
-3.284571e+00 6.116410e-24
-3.279570e+00 6.790905e-24
-3.274569e+00 7.539028e-24
-3.269567e+00 8.368733e-24
-3.264566e+00 9.288823e-24
-3.259565e+00 1.030904e-23
-3.254564e+00 1.144017e-23
-3.249562e+00 1.269414e-23
-3.244561e+00 1.408416e-23
-3.239560e+00 1.562482e-23
-3.234559e+00 1.733228e-23
-3.229557e+00 1.922441e-23
-3.224556e+00 2.132098e-23
-3.219555e+00 2.364383e-23
-3.214554e+00 2.621712e-23
-3.209552e+00 2.906758e-23
-3.204551e+00 3.222474e-23
-3.199550e+00 3.572124e-23
-3.194549e+00 3.959318e-23
-3.189547e+00 4.388042e-23
-3.184546e+00 4.862704e-23
-3.179545e+00 5.388173e-23
-3.174544e+00 5.969828e-23
-3.169542e+00 6.613612e-23
-3.164541e+00 7.326091e-23
-3.159540e+00 8.114514e-23
-3.154539e+00 8.986888e-23
-3.149537e+00 9.952055e-23
-3.144536e+00 1.101978e-22
-3.139535e+00 1.220084e-22
-3.134534e+00 1.350713e-22
-3.129532e+00 1.495178e-22
-3.124531e+00 1.654930e-22
-3.119530e+00 1.831567e-22
-3.114529e+00 2.026855e-22
-3.109527e+00 2.242741e-22
-3.104526e+00 2.481374e-22
-3.099525e+00 2.745124e-22
-3.094524e+00 3.036606e-22
-3.089522e+00 3.358701e-22
-3.084521e+00 3.714591e-22
-3.079520e+00 4.107782e-22
-3.074519e+00 4.542137e-22
-3.069517e+00 5.021920e-22
-3.064516e+00 5.551827e-22
-3.059515e+00 6.137037e-22
-3.054514e+00 6.783256e-22
-3.049512e+00 7.496771e-22
-3.044511e+00 8.284512e-22
-3.039510e+00 9.154113e-22
-3.034509e+00 1.011398e-21
-3.029507e+00 1.117339e-21
-3.024506e+00 1.234253e-21
-3.019505e+00 1.363264e-21
-3.014504e+00 1.505610e-21
-3.009502e+00 1.662652e-21
-3.004501e+00 1.835892e-21
-2.999500e+00 2.026981e-21
-2.994499e+00 2.237735e-21
-2.989497e+00 2.470155e-21
-2.984496e+00 2.726443e-21
-2.979495e+00 3.009022e-21
-2.974494e+00 3.320557e-21
-2.969492e+00 3.663980e-21
-2.964491e+00 4.042517e-21
-2.959490e+00 4.459716e-21
-2.954489e+00 4.919481e-21
-2.949487e+00 5.426102e-21
-2.944486e+00 5.984299e-21
-2.939485e+00 6.599260e-21
-2.934484e+00 7.276689e-21
-2.929482e+00 8.022856e-21
-2.924481e+00 8.844654e-21
-2.919480e+00 9.749657e-21
-2.914479e+00 1.074619e-20
-2.909477e+00 1.184339e-20
-2.904476e+00 1.305132e-20
-2.899475e+00 1.438101e-20
-2.894474e+00 1.584459e-20
-2.889472e+00 1.745538e-20
-2.884471e+00 1.922801e-20
-2.879470e+00 2.117853e-20
-2.874469e+00 2.332459e-20
-2.869467e+00 2.568554e-20
-2.864466e+00 2.828265e-20
-2.859465e+00 3.113925e-20
-2.854464e+00 3.428095e-20
-2.849462e+00 3.773585e-20
-2.844461e+00 4.153480e-20
-2.839460e+00 4.571163e-20
-2.834459e+00 5.030346e-20
-2.829457e+00 5.535103e-20
-2.824456e+00 6.089900e-20
-2.819455e+00 6.699637e-20
-2.814454e+00 7.369687e-20
-2.809452e+00 8.105940e-20
-2.804451e+00 8.914857e-20
-2.799450e+00 9.803519e-20
-2.794449e+00 1.077969e-19
-2.789447e+00 1.185188e-19
-2.784446e+00 1.302941e-19
-2.779445e+00 1.432250e-19
-2.774444e+00 1.574235e-19
-2.769442e+00 1.730123e-19
-2.764441e+00 1.901258e-19
-2.759440e+00 2.089112e-19
-2.754439e+00 2.295298e-19
-2.749437e+00 2.521582e-19
-2.744436e+00 2.769897e-19
-2.739435e+00 3.042362e-19
-2.734434e+00 3.341294e-19
-2.729432e+00 3.669232e-19
-2.724431e+00 4.028953e-19
-2.719430e+00 4.423500e-19
-2.714429e+00 4.856198e-19
-2.709427e+00 5.330689e-19
-2.704426e+00 5.850958e-19
-2.699425e+00 6.421364e-19
-2.694424e+00 7.046674e-19
-2.689422e+00 7.732104e-19
-2.684421e+00 8.483360e-19
-2.679420e+00 9.306678e-19
-2.674419e+00 1.020888e-18
-2.669417e+00 1.119743e-18
-2.664416e+00 1.228047e-18
-2.659415e+00 1.346692e-18
-2.654414e+00 1.476652e-18
-2.649412e+00 1.618992e-18
-2.644411e+00 1.774876e-18
-2.639410e+00 1.945574e-18
-2.634409e+00 2.132477e-18
-2.629407e+00 2.337101e-18
-2.624406e+00 2.561104e-18
-2.619405e+00 2.806297e-18
-2.614404e+00 3.074657e-18
-2.609402e+00 3.368343e-18
-2.604401e+00 3.689713e-18
-2.599400e+00 4.041341e-18
-2.594399e+00 4.426037e-18
-2.589397e+00 4.846869e-18
-2.584396e+00 5.307183e-18
-2.579395e+00 5.810634e-18
-2.574394e+00 6.361208e-18
-2.569392e+00 6.963256e-18
-2.564391e+00 7.621522e-18
-2.559390e+00 8.341184e-18
-2.554389e+00 9.127888e-18
-2.549387e+00 9.987794e-18
-2.544386e+00 1.092762e-17
-2.539385e+00 1.195468e-17
-2.534384e+00 1.307697e-17
-2.529382e+00 1.430319e-17
-2.524381e+00 1.564283e-17
-2.519380e+00 1.710623e-17
-2.514379e+00 1.870467e-17
-2.509377e+00 2.045043e-17
-2.504376e+00 2.235689e-17
-2.499375e+00 2.443863e-17
-2.494374e+00 2.671155e-17
-2.489372e+00 2.919295e-17
-2.484371e+00 3.190168e-17
-2.479370e+00 3.485825e-17
-2.474369e+00 3.808504e-17
-2.469367e+00 4.160636e-17
-2.464366e+00 4.544873e-17
-2.459365e+00 4.964099e-17
-2.454364e+00 5.421453e-17
-2.449362e+00 5.920354e-17
-2.444361e+00 6.464519e-17
-2.439360e+00 7.057996e-17
-2.434359e+00 7.705188e-17
-2.429357e+00 8.410885e-17
-2.424356e+00 9.180298e-17
-2.419355e+00 1.001910e-16
-2.414354e+00 1.093344e-16
-2.409352e+00 1.193004e-16
-2.404351e+00 1.301618e-16
-2.399350e+00 1.419978e-16
-2.394349e+00 1.548947e-16
-2.389347e+00 1.689461e-16
-2.384346e+00 1.842537e-16
-2.379345e+00 2.009283e-16
-2.374344e+00 2.190900e-16
-2.369342e+00 2.388695e-16
-2.364341e+00 2.604086e-16
-2.359340e+00 2.838616e-16
-2.354339e+00 3.093960e-16
-2.349337e+00 3.371935e-16
-2.344336e+00 3.674519e-16
-2.339335e+00 4.003855e-16
-2.334334e+00 4.362273e-16
-2.329332e+00 4.752301e-16
-2.324331e+00 5.176685e-16
-2.319330e+00 5.638404e-16
-2.314329e+00 6.140690e-16
-2.309327e+00 6.687055e-16
-2.304326e+00 7.281304e-16
-2.299325e+00 7.927571e-16
-2.294324e+00 8.630336e-16
-2.289322e+00 9.394462e-16
-2.284321e+00 1.022522e-15
-2.279320e+00 1.112834e-15
-2.274319e+00 1.211001e-15
-2.269317e+00 1.317696e-15
-2.264316e+00 1.433648e-15
-2.259315e+00 1.559648e-15
-2.254314e+00 1.696552e-15
-2.249312e+00 1.845289e-15
-2.244311e+00 2.006866e-15
-2.239310e+00 2.182373e-15
-2.234309e+00 2.372991e-15
-2.229307e+00 2.580002e-15
-2.224306e+00 2.804791e-15
-2.219305e+00 3.048861e-15
-2.214304e+00 3.313838e-15
-2.209302e+00 3.601485e-15
-2.204301e+00 3.913710e-15
-2.199300e+00 4.252578e-15
-2.194299e+00 4.620326e-15
-2.189297e+00 5.019373e-15
-2.184296e+00 5.452341e-15
-2.179295e+00 5.922066e-15
-2.174294e+00 6.431615e-15
-2.169292e+00 6.984309e-15
-2.164291e+00 7.583742e-15
-2.159290e+00 8.233799e-15
-2.154289e+00 8.938685e-15
-2.149287e+00 9.702946e-15
-2.144286e+00 1.053150e-14
-2.139285e+00 1.142967e-14
-2.134284e+00 1.240319e-14
-2.129282e+00 1.345829e-14
-2.124281e+00 1.460169e-14
-2.119280e+00 1.584065e-14
-2.114279e+00 1.718301e-14
-2.109277e+00 1.863727e-14
-2.104276e+00 2.021260e-14
-2.099275e+00 2.191889e-14
-2.094274e+00 2.376684e-14
-2.089272e+00 2.576802e-14
-2.084271e+00 2.793491e-14
-2.079270e+00 3.028100e-14
-2.074269e+00 3.282084e-14
-2.069267e+00 3.557016e-14
-2.064266e+00 3.854594e-14
-2.059265e+00 4.176650e-14
-2.054264e+00 4.525162e-14
-2.049262e+00 4.902266e-14
-2.044261e+00 5.310265e-14
-2.039260e+00 5.751646e-14
-2.034259e+00 6.229092e-14
-2.029257e+00 6.745498e-14
-2.024256e+00 7.303985e-14
-2.019255e+00 7.907922e-14
-2.014254e+00 8.560942e-14
-2.009252e+00 9.266961e-14
-2.004251e+00 1.003020e-13
-1.999250e+00 1.085522e-13
-1.994249e+00 1.174693e-13
-1.989247e+00 1.271062e-13
-1.984246e+00 1.375200e-13
-1.979245e+00 1.487721e-13
-1.974244e+00 1.609287e-13
-1.969242e+00 1.740614e-13
-1.964241e+00 1.882470e-13
-1.959240e+00 2.035683e-13
-1.954239e+00 2.201146e-13
-1.949237e+00 2.379821e-13
-1.944236e+00 2.572743e-13
-1.939235e+00 2.781026e-13
-1.934234e+00 3.005872e-13
-1.929232e+00 3.248571e-13
-1.924231e+00 3.510516e-13
-1.919230e+00 3.793204e-13
-1.914229e+00 4.098247e-13
-1.909227e+00 4.427378e-13
-1.904226e+00 4.782464e-13
-1.899225e+00 5.165514e-13
-1.894224e+00 5.578686e-13
-1.889222e+00 6.024306e-13
-1.884221e+00 6.504871e-13
-1.879220e+00 7.023070e-13
-1.874219e+00 7.581794e-13
-1.869217e+00 8.184150e-13
