t P_alpha_to_beta P_alpha_to_alpha
0.000000e+00 0.000000e+00 1.000000e+00
1.000100e-03 6.886262e-07 9.999993e-01
2.000200e-03 2.754502e-06 9.999972e-01
3.000300e-03 6.197620e-06 9.999938e-01
4.000400e-03 1.101797e-05 9.999890e-01
5.000500e-03 1.721552e-05 9.999828e-01
6.000600e-03 2.479026e-05 9.999752e-01
7.000700e-03 3.374216e-05 9.999663e-01
8.000800e-03 4.407118e-05 9.999559e-01
9.000900e-03 5.577727e-05 9.999442e-01
1.000100e-02 6.886041e-05 9.999311e-01
1.100110e-02 8.332052e-05 9.999167e-01
1.200120e-02 9.915757e-05 9.999008e-01
1.300130e-02 1.163715e-04 9.998836e-01
1.400140e-02 1.349622e-04 9.998650e-01
1.500150e-02 1.549296e-04 9.998451e-01
1.600160e-02 1.762737e-04 9.998237e-01
1.700170e-02 1.989944e-04 9.998010e-01
1.800180e-02 2.230915e-04 9.997769e-01
1.900190e-02 2.485650e-04 9.997514e-01
2.000200e-02 2.754148e-04 9.997246e-01
2.100210e-02 3.036407e-04 9.996964e-01
2.200220e-02 3.332428e-04 9.996668e-01
2.300230e-02 3.642208e-04 9.996358e-01
2.400240e-02 3.965746e-04 9.996034e-01
2.500250e-02 4.303041e-04 9.995697e-01
2.600260e-02 4.654092e-04 9.995346e-01
2.700270e-02 5.018898e-04 9.994981e-01
2.800280e-02 5.397456e-04 9.994603e-01
2.900290e-02 5.789766e-04 9.994210e-01
3.000300e-02 6.195826e-04 9.993804e-01
3.100310e-02 6.615634e-04 9.993384e-01
3.200320e-02 7.049189e-04 9.992951e-01
3.300330e-02 7.496489e-04 9.992504e-01
3.400340e-02 7.957532e-04 9.992042e-01
3.500350e-02 8.432317e-04 9.991568e-01
3.600360e-02 8.920841e-04 9.991079e-01
3.700370e-02 9.423103e-04 9.990577e-01
3.800380e-02 9.939101e-04 9.990061e-01
3.900390e-02 1.046883e-03 9.989531e-01
4.000400e-02 1.101230e-03 9.988988e-01
