p rho_p
1.492873e+00 7.362239e-38
1.500375e+00 7.918759e-38
1.507877e+00 8.517050e-38
1.515379e+00 9.160226e-38
1.522881e+00 9.851629e-38
1.530383e+00 1.059485e-37
1.537884e+00 1.139374e-37
1.545386e+00 1.225244e-37
1.552888e+00 1.317540e-37
1.560390e+00 1.416739e-37
1.567892e+00 1.523353e-37
1.575394e+00 1.637933e-37
1.582896e+00 1.761070e-37
1.590398e+00 1.893398e-37
1.597899e+00 2.035597e-37
1.605401e+00 2.188399e-37
1.612903e+00 2.352589e-37
1.620405e+00 2.529009e-37
1.627907e+00 2.718563e-37
1.635409e+00 2.922222e-37
1.642911e+00 3.141027e-37
1.650413e+00 3.376097e-37
1.657914e+00 3.628632e-37
1.665416e+00 3.899920e-37
1.672918e+00 4.191343e-37
1.680420e+00 4.504384e-37
1.687922e+00 4.840635e-37
1.695424e+00 5.201805e-37
1.702926e+00 5.589725e-37
1.710428e+00 6.006363e-37
1.717929e+00 6.453829e-37
1.725431e+00 6.934386e-37
1.732933e+00 7.450464e-37
1.740435e+00 8.004669e-37
1.747937e+00 8.599795e-37
1.755439e+00 9.238843e-37
1.762941e+00 9.925030e-37
1.770443e+00 1.066181e-36
1.777944e+00 1.145287e-36
1.785446e+00 1.230220e-36
1.792948e+00 1.321405e-36
1.800450e+00 1.419299e-36
1.807952e+00 1.524391e-36
1.815454e+00 1.637207e-36
1.822956e+00 1.758311e-36
1.830458e+00 1.888307e-36
1.837959e+00 2.027842e-36
1.845461e+00 2.177611e-36
1.852963e+00 2.338360e-36
1.860465e+00 2.510887e-36
1.867967e+00 2.696049e-36
1.875469e+00 2.894763e-36
1.882971e+00 3.108015e-36
1.890473e+00 3.336860e-36
1.897974e+00 3.582429e-36
1.905476e+00 3.845936e-36
1.912978e+00 4.128680e-36
1.920480e+00 4.432055e-36
1.927982e+00 4.757556e-36
1.935484e+00 5.106783e-36
1.942986e+00 5.481454e-36
1.950488e+00 5.883407e-36
1.957989e+00 6.314615e-36
1.965491e+00 6.777190e-36
1.972993e+00 7.273396e-36
1.980495e+00 7.805661e-36
1.987997e+00 8.376584e-36
1.995499e+00 8.988951e-36
2.003001e+00 9.645749e-36
2.010503e+00 1.035018e-35
2.018005e+00 1.110566e-35
2.025506e+00 1.191587e-35
2.033008e+00 1.278475e-35
2.040510e+00 1.371651e-35
2.048012e+00 1.471565e-35
2.055514e+00 1.578704e-35
2.063016e+00 1.693583e-35
2.070518e+00 1.816759e-35
2.078020e+00 1.948826e-35
2.085521e+00 2.090420e-35
2.093023e+00 2.242225e-35
2.100525e+00 2.404969e-35
2.108027e+00 2.579437e-35
2.115529e+00 2.766466e-35
2.123031e+00 2.966952e-35
2.130533e+00 3.181858e-35
2.138035e+00 3.412212e-35
2.145536e+00 3.659115e-35
2.153038e+00 3.923749e-35
2.160540e+00 4.207376e-35
2.168042e+00 4.511349e-35
2.175544e+00 4.837116e-35
2.183046e+00 5.186228e-35
2.190548e+00 5.560345e-35
2.198050e+00 5.961244e-35
2.205551e+00 6.390826e-35
2.213053e+00 6.851130e-35
2.220555e+00 7.344334e-35
2.228057e+00 7.872772e-35
2.235559e+00 8.438942e-35
2.243061e+00 9.045517e-35
2.250563e+00 9.695359e-35
2.258065e+00 1.039153e-34
2.265566e+00 1.113730e-34
2.273068e+00 1.193619e-34
2.280570e+00 1.279194e-34
2.288072e+00 1.370858e-34
2.295574e+00 1.469040e-34
2.303076e+00 1.574199e-34
2.310578e+00 1.686829e-34
2.318080e+00 1.807455e-34
2.325581e+00 1.936641e-34
2.333083e+00 2.074989e-34
2.340585e+00 2.223145e-34
2.348087e+00 2.381797e-34
2.355589e+00 2.551685e-34
2.363091e+00 2.733597e-34
2.370593e+00 2.928378e-34
2.378095e+00 3.136931e-34
2.385596e+00 3.360223e-34
2.393098e+00 3.599286e-34
2.400600e+00 3.855226e-34
2.408102e+00 4.129225e-34
2.415604e+00 4.422548e-34
2.423106e+00 4.736546e-34
2.430608e+00 5.072666e-34
2.438110e+00 5.432453e-34
2.445611e+00 5.817562e-34
2.453113e+00 6.229760e-34
2.460615e+00 6.670938e-34
2.468117e+00 7.143118e-34
2.475619e+00 7.648460e-34
2.483121e+00 8.189276e-34
2.490623e+00 8.768037e-34
2.498125e+00 9.387383e-34
2.505626e+00 1.005014e-33
2.513128e+00 1.075932e-33
2.520630e+00 1.151816e-33
2.528132e+00 1.233010e-33
2.535634e+00 1.319883e-33
2.543136e+00 1.412830e-33
2.550638e+00 1.512270e-33
2.558140e+00 1.618656e-33
2.565641e+00 1.732467e-33
2.573143e+00 1.854218e-33
2.580645e+00 1.984459e-33
2.588147e+00 2.123777e-33
2.595649e+00 2.272799e-33
2.603151e+00 2.432196e-33
2.610653e+00 2.602685e-33
2.618155e+00 2.785031e-33
2.625656e+00 2.980053e-33
2.633158e+00 3.188624e-33
2.640660e+00 3.411680e-33
2.648162e+00 3.650216e-33
2.655664e+00 3.905300e-33
2.663166e+00 4.178071e-33
2.670668e+00 4.469744e-33
2.678170e+00 4.781619e-33
2.685671e+00 5.115085e-33
2.693173e+00 5.471625e-33
2.700675e+00 5.852821e-33
2.708177e+00 6.260366e-33
2.715679e+00 6.696067e-33
2.723181e+00 7.161852e-33
2.730683e+00 7.659784e-33
2.738185e+00 8.192063e-33
2.745686e+00 8.761038e-33
2.753188e+00 9.369221e-33
2.760690e+00 1.001929e-32
2.768192e+00 1.071411e-32
2.775694e+00 1.145673e-32
2.783196e+00 1.225042e-32
2.790698e+00 1.309867e-32
2.798200e+00 1.400518e-32
2.805701e+00 1.497393e-32
2.813203e+00 1.600917e-32
2.820705e+00 1.711541e-32
2.828207e+00 1.829749e-32
2.835709e+00 1.956056e-32
2.843211e+00 2.091013e-32
2.850713e+00 2.235208e-32
2.858215e+00 2.389268e-32
2.865716e+00 2.553862e-32
2.873218e+00 2.729705e-32
2.880720e+00 2.917560e-32
2.888222e+00 3.118239e-32
2.895724e+00 3.332613e-32
2.903226e+00 3.561607e-32
2.910728e+00 3.806212e-32
2.918230e+00 4.067481e-32
2.925731e+00 4.346543e-32
2.933233e+00 4.644598e-32
2.940735e+00 4.962929e-32
2.948237e+00 5.302904e-32
2.955739e+00 5.665982e-32
2.963241e+00 6.053722e-32
2.970743e+00 6.467784e-32
2.978245e+00 6.909941e-32
2.985746e+00 7.382084e-32
2.993248e+00 7.886230e-32
3.000750e+00 8.424530e-32
3.008252e+00 8.999281e-32
3.015754e+00 9.612929e-32
3.023256e+00 1.026809e-31
3.030758e+00 1.096754e-31
3.038260e+00 1.171425e-31
3.045761e+00 1.251140e-31
3.053263e+00 1.336236e-31
3.060765e+00 1.427073e-31
3.068267e+00 1.524035e-31
3.075769e+00 1.627533e-31
3.083271e+00 1.738003e-31
3.090773e+00 1.855911e-31
3.098275e+00 1.981754e-31
3.105776e+00 2.116061e-31
3.113278e+00 2.259396e-31
3.120780e+00 2.412363e-31
3.128282e+00 2.575603e-31
3.135784e+00 2.749799e-31
3.143286e+00 2.935682e-31
3.150788e+00 3.134029e-31
3.158290e+00 3.345669e-31
3.165791e+00 3.571485e-31
3.173293e+00 3.812420e-31
3.180795e+00 4.069477e-31
3.188297e+00 4.343726e-31
3.195799e+00 4.636307e-31
3.203301e+00 4.948436e-31
3.210803e+00 5.281408e-31
3.218305e+00 5.636604e-31
3.225806e+00 6.015494e-31
3.233308e+00 6.419646e-31
3.240810e+00 6.850731e-31
3.248312e+00 7.310528e-31
3.255814e+00 7.800935e-31
3.263316e+00 8.323971e-31
3.270818e+00 8.881790e-31
3.278320e+00 9.476686e-31
3.285821e+00 1.011110e-30
3.293323e+00 1.078765e-30
3.300825e+00 1.150909e-30
3.308327e+00 1.227838e-30
3.315829e+00 1.309868e-30
3.323331e+00 1.397333e-30
3.330833e+00 1.490590e-30
3.338335e+00 1.590021e-30
3.345836e+00 1.696030e-30
3.353338e+00 1.809049e-30
3.360840e+00 1.929537e-30
3.368342e+00 2.057985e-30
3.375844e+00 2.194913e-30
