t P_alpha_to_beta P_alpha_to_alpha
0.000000e+00 0.000000e+00 1.000000e+00
6.000600e-03 5.218922e-07 9.999995e-01
1.200120e-02 2.087567e-06 9.999979e-01
1.800180e-02 4.697020e-06 9.999953e-01
2.400240e-02 8.350244e-06 9.999916e-01
3.000300e-02 1.304723e-05 9.999870e-01
3.600360e-02 1.878796e-05 9.999812e-01
4.200420e-02 2.557242e-05 9.999744e-01
4.800480e-02 3.340058e-05 9.999666e-01
5.400540e-02 4.227244e-05 9.999577e-01
6.000600e-02 5.218795e-05 9.999478e-01
6.600660e-02 6.314709e-05 9.999369e-01
7.200720e-02 7.514983e-05 9.999249e-01
7.800780e-02 8.819614e-05 9.999118e-01
8.400840e-02 1.022860e-04 9.998977e-01
9.000900e-02 1.174193e-04 9.998826e-01
9.600960e-02 1.335960e-04 9.998664e-01
1.020102e-01 1.508162e-04 9.998492e-01
1.080108e-01 1.690796e-04 9.998309e-01
1.140114e-01 1.883864e-04 9.998116e-01
1.200120e-01 2.087364e-04 9.997913e-01
1.260126e-01 2.301296e-04 9.997699e-01
1.320132e-01 2.525658e-04 9.997474e-01
1.380138e-01 2.760452e-04 9.997240e-01
1.440144e-01 3.005674e-04 9.996994e-01
1.500150e-01 3.261326e-04 9.996739e-01
1.560156e-01 3.527406e-04 9.996473e-01
1.620162e-01 3.803914e-04 9.996196e-01
1.680168e-01 4.090848e-04 9.995909e-01
1.740174e-01 4.388207e-04 9.995612e-01
1.800180e-01 4.695992e-04 9.995304e-01
1.860186e-01 5.014201e-04 9.994986e-01
1.920192e-01 5.342833e-04 9.994657e-01
1.980198e-01 5.681887e-04 9.994318e-01
2.040204e-01 6.031362e-04 9.993969e-01
2.100210e-01 6.391257e-04 9.993609e-01
2.160216e-01 6.761571e-04 9.993238e-01
2.220222e-01 7.142303e-04 9.992858e-01
2.280228e-01 7.533452e-04 9.992467e-01
2.340234e-01 7.935016e-04 9.992065e-01
2.400240e-01 8.346995e-04 9.991653e-01
2.460246e-01 8.769387e-04 9.991231e-01
2.520252e-01 9.202191e-04 9.990798e-01
2.580258e-01 9.645406e-04 9.990355e-01
2.640264e-01 1.009903e-03 9.989901e-01
2.700270e-01 1.056306e-03 9.989437e-01
2.760276e-01 1.103750e-03 9.988962e-01
2.820282e-01 1.152235e-03 9.988478e-01
2.880288e-01 1.201759e-03 9.987982e-01
2.940294e-01 1.252324e-03 9.987477e-01
3.000300e-01 1.303930e-03 9.986961e-01
3.060306e-01 1.356575e-03 9.986434e-01
3.120312e-01 1.410260e-03 9.985897e-01
3.180318e-01 1.464984e-03 9.985350e-01
3.240324e-01 1.520748e-03 9.984793e-01
3.300330e-01 1.577551e-03 9.984224e-01
3.360336e-01 1.635394e-03 9.983646e-01
3.420342e-01 1.694275e-03 9.983057e-01
3.480348e-01 1.754195e-03 9.982458e-01
3.540354e-01 1.815154e-03 9.981848e-01
3.600360e-01 1.877151e-03 9.981228e-01
3.660366e-01 1.940187e-03 9.980598e-01
3.720372e-01 2.004260e-03 9.979957e-01
3.780378e-01 2.069371e-03 9.979306e-01
3.840384e-01 2.135521e-03 9.978645e-01
3.900390e-01 2.202707e-03 9.977973e-01
3.960396e-01 2.270931e-03 9.977291e-01
4.020402e-01 2.340192e-03 9.976598e-01
4.080408e-01 2.410490e-03 9.975895e-01
4.140414e-01 2.481824e-03 9.975182e-01
4.200420e-01 2.554195e-03 9.974458e-01
4.260426e-01 2.627602e-03 9.973724e-01
4.320432e-01 2.702046e-03 9.972980e-01
4.380438e-01 2.777525e-03 9.972225e-01
4.440444e-01 2.854039e-03 9.971460e-01
4.500450e-01 2.931589e-03 9.970684e-01
4.560456e-01 3.010175e-03 9.969898e-01
4.620462e-01 3.089795e-03 9.969102e-01
4.680468e-01 3.170449e-03 9.968296e-01
4.740474e-01 3.252139e-03 9.967479e-01
4.800480e-01 3.334862e-03 9.966651e-01
4.860486e-01 3.418619e-03 9.965814e-01
4.920492e-01 3.503410e-03 9.964966e-01
4.980498e-01 3.589235e-03 9.964108e-01
5.040504e-01 3.676093e-03 9.963239e-01
5.100510e-01 3.763983e-03 9.962360e-01
5.160516e-01 3.852907e-03 9.961471e-01
5.220522e-01 3.942863e-03 9.960571e-01
5.280528e-01 4.033850e-03 9.959661e-01
5.340534e-01 4.125870e-03 9.958741e-01
