t P_alpha_to_beta P_alpha_to_alpha 2sin2theta_cos2theta
3.920392e-02 1.180322e-02 9.881968e-01 3.540367e-01
3.960396e-02 1.204353e-02 9.879565e-01 3.540367e-01
4.000400e-02 1.228620e-02 9.877138e-01 3.540367e-01
4.040404e-02 1.253124e-02 9.874688e-01 3.540367e-01
4.080408e-02 1.277864e-02 9.872214e-01 3.540367e-01
4.120412e-02 1.302840e-02 9.869716e-01 3.540367e-01
4.160416e-02 1.328051e-02 9.867195e-01 3.540367e-01
4.200420e-02 1.353498e-02 9.864650e-01 3.540367e-01
4.240424e-02 1.379181e-02 9.862082e-01 3.540367e-01
4.280428e-02 1.405098e-02 9.859490e-01 3.540367e-01
4.320432e-02 1.431251e-02 9.856875e-01 3.540367e-01
4.360436e-02 1.457637e-02 9.854236e-01 3.540367e-01
4.400440e-02 1.484259e-02 9.851574e-01 3.540367e-01
4.440444e-02 1.511114e-02 9.848889e-01 3.540367e-01
4.480448e-02 1.538203e-02 9.846180e-01 3.540367e-01
4.520452e-02 1.565526e-02 9.843447e-01 3.540367e-01
4.560456e-02 1.593082e-02 9.840692e-01 3.540367e-01
4.600460e-02 1.620871e-02 9.837913e-01 3.540367e-01
4.640464e-02 1.648893e-02 9.835111e-01 3.540367e-01
4.680468e-02 1.677148e-02 9.832285e-01 3.540367e-01
4.720472e-02 1.705635e-02 9.829437e-01 3.540367e-01
4.760476e-02 1.734354e-02 9.826565e-01 3.540367e-01
4.800480e-02 1.763304e-02 9.823670e-01 3.540367e-01
4.840484e-02 1.792487e-02 9.820751e-01 3.540367e-01
4.880488e-02 1.821901e-02 9.817810e-01 3.540367e-01
4.920492e-02 1.851545e-02 9.814845e-01 3.540367e-01
4.960496e-02 1.881421e-02 9.811858e-01 3.540367e-01
5.000500e-02 1.911527e-02 9.808847e-01 3.540367e-01
5.040504e-02 1.941863e-02 9.805814e-01 3.540367e-01
5.080508e-02 1.972429e-02 9.802757e-01 3.540367e-01
5.120512e-02 2.003225e-02 9.799678e-01 3.540367e-01
5.160516e-02 2.034250e-02 9.796575e-01 3.540367e-01
5.200520e-02 2.065504e-02 9.793450e-01 3.540367e-01
5.240524e-02 2.096987e-02 9.790301e-01 3.540367e-01
5.280528e-02 2.128699e-02 9.787130e-01 3.540367e-01
5.320532e-02 2.160639e-02 9.783936e-01 3.540367e-01
5.360536e-02 2.192807e-02 9.780719e-01 3.540367e-01
5.400540e-02 2.225202e-02 9.777480e-01 3.540367e-01
5.440544e-02 2.257825e-02 9.774218e-01 3.540367e-01
5.480548e-02 2.290675e-02 9.770933e-01 3.540367e-01
5.520552e-02 2.323752e-02 9.767625e-01 3.540367e-01
5.560556e-02 2.357055e-02 9.764295e-01 3.540367e-01
5.600560e-02 2.390584e-02 9.760942e-01 3.540367e-01
5.640564e-02 2.424339e-02 9.757566e-01 3.540367e-01
5.680568e-02 2.458320e-02 9.754168e-01 3.540367e-01
5.720572e-02 2.492526e-02 9.750747e-01 3.540367e-01
5.760576e-02 2.526957e-02 9.747304e-01 3.540367e-01
5.800580e-02 2.561613e-02 9.743839e-01 3.540367e-01
5.840584e-02 2.596493e-02 9.740351e-01 3.540367e-01
5.880588e-02 2.631597e-02 9.736840e-01 3.540367e-01
5.920592e-02 2.666924e-02 9.733308e-01 3.540367e-01
5.960596e-02 2.702475e-02 9.729752e-01 3.540367e-01
6.000600e-02 2.738249e-02 9.726175e-01 3.540367e-01
6.040604e-02 2.774246e-02 9.722575e-01 3.540367e-01
6.080608e-02 2.810465e-02 9.718953e-01 3.540367e-01
6.120612e-02 2.846907e-02 9.715309e-01 3.540367e-01
6.160616e-02 2.883570e-02 9.711643e-01 3.540367e-01
6.200620e-02 2.920454e-02 9.707955e-01 3.540367e-01
6.240624e-02 2.957559e-02 9.704244e-01 3.540367e-01
6.280628e-02 2.994886e-02 9.700511e-01 3.540367e-01
6.320632e-02 3.032432e-02 9.696757e-01 3.540367e-01
6.360636e-02 3.070199e-02 9.692980e-01 3.540367e-01
6.400640e-02 3.108185e-02 9.689181e-01 3.540367e-01
6.440644e-02 3.146391e-02 9.685361e-01 3.540367e-01
6.480648e-02 3.184816e-02 9.681518e-01 3.540367e-01
6.520652e-02 3.223460e-02 9.677654e-01 3.540367e-01
6.560656e-02 3.262321e-02 9.673768e-01 3.540367e-01
6.600660e-02 3.301401e-02 9.669860e-01 3.540367e-01
6.640664e-02 3.340699e-02 9.665930e-01 3.540367e-01
6.680668e-02 3.380214e-02 9.661979e-01 3.540367e-01
6.720672e-02 3.419945e-02 9.658005e-01 3.540367e-01
6.760676e-02 3.459894e-02 9.654011e-01 3.540367e-01
6.800680e-02 3.500058e-02 9.649994e-01 3.540367e-01
6.840684e-02 3.540438e-02 9.645956e-01 3.540367e-01
6.880688e-02 3.581034e-02 9.641897e-01 3.540367e-01
6.920692e-02 3.621845e-02 9.637815e-01 3.540367e-01
6.960696e-02 3.662871e-02 9.633713e-01 3.540367e-01
7.000700e-02 3.704111e-02 9.629589e-01 3.540367e-01
7.040704e-02 3.745565e-02 9.625444e-01 3.540367e-01
7.080708e-02 3.787232e-02 9.621277e-01 3.540367e-01
7.120712e-02 3.829113e-02 9.617089e-01 3.540367e-01
7.160716e-02 3.871207e-02 9.612879e-01 3.540367e-01
7.200720e-02 3.913513e-02 9.608649e-01 3.540367e-01
7.240724e-02 3.956032e-02 9.604397e-01 3.540367e-01
7.280728e-02 3.998762e-02 9.600124e-01 3.540367e-01
7.320732e-02 4.041704e-02 9.595830e-01 3.540367e-01
7.360736e-02 4.084856e-02 9.591514e-01 3.540367e-01
7.400740e-02 4.128219e-02 9.587178e-01 3.540367e-01
7.440744e-02 4.171792e-02 9.582821e-01 3.540367e-01
7.480748e-02 4.215575e-02 9.578442e-01 3.540367e-01
7.520752e-02 4.259568e-02 9.574043e-01 3.540367e-01
7.560756e-02 4.303769e-02 9.569623e-01 3.540367e-01
7.600760e-02 4.348179e-02 9.565182e-01 3.540367e-01
7.640764e-02 4.392797e-02 9.560720e-01 3.540367e-01
7.680768e-02 4.437623e-02 9.556238e-01 3.540367e-01
7.720772e-02 4.482657e-02 9.551734e-01 3.540367e-01
7.760776e-02 4.527897e-02 9.547210e-01 3.540367e-01
7.800780e-02 4.573344e-02 9.542666e-01 3.540367e-01
7.840784e-02 4.618997e-02 9.538100e-01 3.540367e-01
7.880788e-02 4.664856e-02 9.533514e-01 3.540367e-01
7.920792e-02 4.710920e-02 9.528908e-01 3.540367e-01
7.960796e-02 4.757189e-02 9.524281e-01 3.540367e-01
8.000800e-02 4.803663e-02 9.519634e-01 3.540367e-01
8.040804e-02 4.850341e-02 9.514966e-01 3.540367e-01
8.080808e-02 4.897223e-02 9.510278e-01 3.540367e-01
8.120812e-02 4.944307e-02 9.505569e-01 3.540367e-01
